# per-organism common-name source; precedence gbif/ncbi > wikidata > duke
organism_id	scientific_name	common_name	source
Organism_393	Arabidopsis thaliana	Thale Cress	gbif
Organism_1831	Panax ginseng	Asian Ginseng	gbif
Organism_5632	Zingiber officinale	Ginger	gbif
Organism_730	Capsicum annuum	Bell Pepper	gbif
Organism_1819	Vitis vinifera	Grape-vine	gbif
Organism_375	Mangifera indica	Common Indian Mango	gbif
Organism_245	Citrus reticulata	Mandarin Orange	gbif
Organism_2079	Tripterygium wilfordii	Thunder God Vine	gbif
Organism_1599	Artemisia annua	Annual Mugwort	gbif
Organism_260	Camellia sinensis	Japanese tea	gbif
Organism_524	Nicotiana tabacum	Tobacco	gbif
Organism_2976	Humulus lupulus	Hop	gbif
Organism_2889	Morus alba	White Mulberry	gbif
Organism_2361	Daucus carota	Queen Anne's lace	gbif
Organism_2984	Phaseolus vulgaris	French Bean	gbif
Organism_3796	Glycyrrhiza uralensis	Chinese Liquorice	gbif
Organism_5342	Angelica sinensis	Chinese angelica	gbif
Organism_7381	Foeniculum vulgare L.	Fennel	gbif
Organism_46258	Perilla frutescens var. arguta	Perilla	duke
Organism_735	Oryza sativa	Rice	gbif
Organism_4469	Eucalyptus globulus	Southern Blue-gum	gbif
Organism_2684	Lonicera japonica	Japanese Honeysuckle	gbif
Organism_1185	Citrullus lanatus	Water Melon	gbif
Plant_tomato	tomato	tomato	ncbi
Organism_6931	Murraya paniculata	orange jasmine	wikidata
Organism_3719	Melia azedarach	Chinaberry	gbif
Organism_1843	Taxus wallichiana	East Himalayan Yew	gbif
Organism_5226	Angelica acutiloba	Acutelobed Angelica	gbif
Organism_3854	Vitex negundo	Five Leaved Chaste	gbif
Organism_4166	Salvia officinalis	Garden Sage	gbif
Organism_15778	Ginkgo biloba L.	Maidenhair-tree	gbif
Organism_9134	Citrus medica	Citron	gbif
Organism_1178	Curcuma longa	Turmeric	gbif
Organism_105	Cannabis sativa	Hemp	gbif
Organism_3190	Artemisia capillaris	Capillary wormwood	gbif
Organism_2658	Catharanthus roseus	Churchyard Blossom	gbif
Organism_2370	Sophora flavescens	Shrubby sophora	gbif
Organism_2512	Pisum sativum	Garden Pea	gbif
Organism_2000	Annona squamosa	Sugar Apple	gbif
Organism_9620	Artemisia argyi	Chinese mugwort	gbif
Organism_7145	Piper nigrum	Black Pepper	gbif
Organism_21654	Valeriana officinalis var. latifolia	Valeriana officinalis latifolia	wikidata
Organism_26945	Citrus deliciosa	Citrus × deliciosa	wikidata
Organism_5341	Angelica gigas	Gigantic Angelica	gbif
Organism_692	Citrus unshiu	satsuma mandarin	ncbi
Organism_20979	Chaenomeles sinensis	Flowering quince	gbif
Organism_11242	Hypericum perforatum L.	Perforate St John's-wort	gbif
Organism_4958	Schisandra chinensis	Chinese magnolia-vine	gbif
Organism_1964	Psidium guajava	Guava	gbif
Organism_18303	Brassica oleracea var. sabauda	Savoy Cabbage	gbif
Plant_Chrysanthemum_X_Morifolium	Chrysanthemum X Morifolium	florist's chrysanthemum	ncbi
Organism_2671	Brucea javanica	Java brucea	gbif
Organism_614	Chrysanthemum indicum	Indian Chrysanthemum	gbif
Organism_4809	Gardenia jasminoides	Cape Jasmine	gbif
Organism_1847	Azadirachta indica	Neem Tree	gbif
