# sources (priority): gbif,ncbi
# gbif: https://api.gbif.org/v1 (species/match + vernacularNames); langs=eng
# ncbi: NCBI Taxonomy taxdump (https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdmp.zip)
# retrieved: 2026-08-18
organism_id	scientific_name	chosen_source	display_common_name	gbif_accepted_name	gbif_usageKey	gbif_rank	gbif_matchType	ncbi_taxid	all_common_names
Organism_393	Arabidopsis thaliana	gbif	Thale Cress	Arabidopsis thaliana (L.) Heynh.	3052436	SPECIES	EXACT	3702	gbif:eng:Arabidopsis; gbif:eng:Arabidopsis; gbif:eng:Arabidopsis; gbif:eng:Common Wall Cress; gbif:eng:Common Wall Cress; gbif:eng:Mouse-ear Cress; gbif:eng:Mouse-ear Cress; gbif:eng:Mouseear Cress; gbif:eng:Mouseear Cress; gbif:eng:Mouseear cress; gbif:eng:Mouseear cress; gbif:eng:Thale Cress; gbif:eng:Thale Cress; gbif:eng:Thale Cress; gbif:eng:Thalius' cress; gbif:eng:Wall Cress; gbif:eng:Wall Cress; gbif:eng:common wall cress; gbif:eng:common wall cress; gbif:eng:mouse-ear cress; gbif:eng:mouse-ear cress; gbif:eng:mouse-ear-cress; gbif:eng:mouseear cress; gbif:eng:thale cress; gbif:eng:thale cress; gbif:eng:thale cress; gbif:eng:wall cress; gbif:eng:wall cress; gbif:eng:Thale Cress; gbif:eng:mouse-ear cress; gbif:eng:Thalius' Cress; gbif:eng:Thalius' Cress; gbif:eng:Thalius' cress; gbif:eng:thale cress; gbif:eng:wall cress; ncbi:-:mouse-ear cress; ncbi:-:thale-cress; ncbi:-:thale cress
Organism_1831	Panax ginseng	gbif	Asian Ginseng	Panax ginseng C.A.Mey.	5372262	SPECIES	EXACT	4054	gbif:eng:Asian Ginseng; gbif:eng:Asian ginseng; gbif:eng:Asiatic ginseng; gbif:eng:Asiatic ginseng; gbif:eng:Chinese ginseng; gbif:eng:Chinese ginseng; gbif:eng:Chinese ginseng; gbif:eng:Korean Ginseng; gbif:eng:Korean ginseng; gbif:eng:Korean ginseng; gbif:eng:Manchurian ginseng; gbif:eng:Manchurian ginseng; gbif:eng:Oriental ginseng; gbif:eng:Oriental ginseng; gbif:eng:ginseng; gbif:eng:Asian Ginseng; gbif:eng:Korean Ginseng; ncbi:-:Asiatic ginseng; ncbi:-:Chinese ginseng; ncbi:-:ginseng; ncbi:-:insam; ncbi:-:jinso; ncbi:-:Korean ginseng; ncbi:-:ninjin; ncbi:-:renshen; ncbi:-:sansam
Organism_5632	Zingiber officinale	gbif	Ginger	Zingiber officinale Roscoe	2757280	SPECIES	EXACT	94328	gbif:eng:Cooking Ginger; gbif:eng:Garden Ginger; gbif:eng:Ginger; gbif:eng:garden ginger; gbif:eng:garden ginger; gbif:eng:ginger; gbif:eng:Ginger; gbif:eng:Ginger; gbif:eng:common ginger; ncbi:-:ginger
Organism_730	Capsicum annuum	gbif	Bell Pepper	Capsicum annuum L.	2932944	SPECIES	EXACT	4072	gbif:eng:Bell Pepper; gbif:eng:Bird Pepper; gbif:eng:Capsicum, Chili, Green Capsicum, Hot Pepper, Paprika, Sweet Pepper; gbif:eng:Capsicum, Chili, Green capsicum, Hot pepper, Paprika, Sweet pepper; gbif:eng:Cayenne Pepper; gbif:eng:Cayenne pepper; gbif:eng:Chili; gbif:eng:Chili Pepper; gbif:eng:Chilli; gbif:eng:Green Pepper; gbif:eng:Paprika; gbif:eng:Pepper; gbif:eng:Red Capsicum; gbif:eng:Seasoning Pepper; gbif:eng:Sweet Pepper; gbif:eng:Sweet Pepper; gbif:eng:Sweet Pepper; gbif:eng:Sweet Pepper; gbif:eng:banana pepper; gbif:eng:cayenne pepper; gbif:eng:chile pequin; gbif:eng:chili; gbif:eng:chili; gbif:eng:chilipiquin; gbif:eng:chilli pepper; gbif:eng:paprika; gbif:eng:pepper; gbif:eng:pepper; gbif:eng:red capsicum; gbif:eng:red capsicum; gbif:eng:red pepper; gbif:eng:sweet bell pepper; gbif:eng:sweet pepper; gbif:eng:sweet-pepper; gbif:eng:sweet-pepper; gbif:eng:Bell Pepper; gbif:eng:Bell Pepper; gbif:eng:Bird Pepper; gbif:eng:Bird Pepper; gbif:eng:Chili Pepper; gbif:eng:Sweet Pepper; gbif:eng:Cayenne Pepper; gbif:eng:Chili Pepper; gbif:eng:Chilli; gbif:eng:Chilli; gbif:eng:Green Pepper; gbif:eng:Green Pepper; gbif:eng:Pimiento; gbif:eng:Pimiento; gbif:eng:Seasoning Pepper; gbif:eng:Seasoning Pepper; ncbi:-:sweet pepper
Organism_1819	Vitis vinifera	gbif	Grape-vine	Vitis vinifera L.	5372392	SPECIES	EXACT	29760	gbif:eng:Common Grapevine; gbif:eng:European Grape; gbif:eng:European grape; gbif:eng:European grape; gbif:eng:European wine grape; gbif:eng:Grape; gbif:eng:Grape-Vine; gbif:eng:Grape-vine; gbif:eng:Grape-vine; gbif:eng:Grape-vine; gbif:eng:Grapevine; gbif:eng:Vine; gbif:eng:Wild Grape; gbif:eng:Wine Grape; gbif:eng:Wine grape; gbif:eng:common grape; gbif:eng:common grapevine; gbif:eng:common grapevine; gbif:eng:grape; gbif:eng:grape; gbif:eng:grapevine; gbif:eng:grapevine; gbif:eng:grapevine; gbif:eng:vine; gbif:eng:vine; gbif:eng:wine grape; gbif:eng:wine grape; gbif:eng:Grape-vine; gbif:eng:Wild Grape; gbif:eng:Wild Grape; gbif:eng:wine grape; gbif:eng:European Wine Grape; gbif:eng:European wine grape; gbif:eng:Grape-Vine; gbif:eng:grape vine; ncbi:-:wine grape
Organism_375	Mangifera indica	gbif	Common Indian Mango	Mangifera indica L.	3190638	SPECIES	EXACT	29780	gbif:eng:Am; gbif:eng:Common Indian Mango; gbif:eng:Indian mango; gbif:eng:Indian mango; gbif:eng:Mango; gbif:eng:Mango; gbif:eng:Mango; gbif:eng:Mango Tree; gbif:eng:common mango; gbif:eng:common mango; gbif:eng:mango; gbif:eng:mango; gbif:eng:mango; gbif:eng:Common Indian Mango; gbif:eng:Mango; gbif:eng:Mango; gbif:eng:Mango; gbif:eng:Mango Tree; gbif:eng:mango; ncbi:-:mango
Organism_245	Citrus reticulata	gbif	Mandarin Orange	Citrus reticulata Blanco	3190172	SPECIES	EXACT	85571	gbif:eng:Mandarin Orange; gbif:eng:Mandarin Oranges; gbif:eng:Swatow orange; gbif:eng:Swatow orange; gbif:eng:Tangerine; gbif:eng:culate mandarin; gbif:eng:culate mandarin; gbif:eng:mandarin; gbif:eng:mandarin; gbif:eng:mandarin; gbif:eng:mandarin orange; gbif:eng:mandarine orange; gbif:eng:mandarine orange; gbif:eng:naartjie; gbif:eng:naartjie; gbif:eng:tangerine; gbif:eng:tangerine; gbif:eng:tangerine; gbif:eng:Mandarin Orange; ncbi:-:mandarin orange; ncbi:-:tangerine; ncbi:-:wild mandarin
Organism_2079	Tripterygium wilfordii	gbif	Thunder God Vine	Tripterygium wilfordii Hook.fil.	5579615	SPECIES	EXACT	458696	gbif:eng:Thunder God Vine
Organism_1599	Artemisia annua	gbif	Annual Mugwort	Artemisia annua L.	8373355	SPECIES	EXACT	35608	gbif:eng:Annual Mugwort; gbif:eng:Annual Mugwort; gbif:eng:Annual Mugwort; gbif:eng:Annual Mugwort; gbif:eng:Annual Wormwood; gbif:eng:Annual Wormwood; gbif:eng:Sweet Annie; gbif:eng:Sweet Annie; gbif:eng:Sweet Sagewort; gbif:eng:Sweet Sagewort; gbif:eng:Sweet Wormwood; gbif:eng:Sweet Wormwood; gbif:eng:Sweet sagewort; gbif:eng:Sweet wormwood; gbif:eng:annual mugwort; gbif:eng:annual wormwood; gbif:eng:annual wormwood; gbif:eng:sweet Annie; gbif:eng:sweet Annie; gbif:eng:sweet sagewort; gbif:eng:sweet sagewort; gbif:eng:sweet sagewort; gbif:eng:sweet wormwood; gbif:eng:sweet wormwood; gbif:eng:sweet-wormwood; gbif:eng:sweet-wormwood; gbif:eng:Annual Mugwort; gbif:eng:annual wormwood; gbif:eng:Sweet wormwood; gbif:eng:sweet sagewort; gbif:eng:sweet wormwood; ncbi:-:sweet Annie; ncbi:-:sweet wormwood
Organism_260	Camellia sinensis	gbif	Japanese tea	Camellia sinensis (L.) Kuntze	3189635	SPECIES	EXACT	4442	gbif:eng:Japanese tea; gbif:eng:Japanese tea; gbif:eng:Tea; gbif:eng:Tea; gbif:eng:Tea; gbif:eng:Tea camellia; gbif:eng:black tea; gbif:eng:black tea; gbif:eng:chai; gbif:eng:chai; gbif:eng:common tea; gbif:eng:common tea; gbif:eng:green tea; gbif:eng:green tea; gbif:eng:tea; gbif:eng:tea; gbif:eng:tea; gbif:eng:tea; gbif:eng:teabush; gbif:eng:teabush; gbif:eng:teaplant; gbif:eng:teaplant; ncbi:-:black tea
