chem_id,inchikey,mw,exact_mw,logp,tpsa,hbd,hba,rotatable_bonds,aromatic_rings,ring_count,fraction_csp3,heavy_atoms,heteroatoms,formal_charge,qed,ro5_violations
Chemical_3552472437097287233,OAUAVKGFNHNNGR-HXUWFJFHSA-N,340.419,340.1675,4.681,58.92,2,4,4,2,3,0.3333,25,4,0,0.7934,0
Chemical_6362650522322958980,KKZJGLLVHKMTCM-UHFFFAOYSA-N,444.488,444.2009,-0.139,163.18,8,10,12,2,3,0.3636,32,10,0,0.1393,1
Chemical_5928202342406660171,YMDZUMYJFIJCRU-UHFFFAOYSA-N,311.301,311.1018,1.386,127.15,3,8,1,3,4,0.2,23,8,0,0.5792,0
Chemical_5355629561194689936,RWDSADRZXTYPMY-UHFFFAOYSA-N,354.358,354.1103,3.791,111.13,4,6,3,3,3,0.15,26,6,0,0.5326,0
Chemical_6050750005447522032,MOESXQFGHNEYAH-UHFFFAOYSA-N,270.284,270.0892,3.003,66.76,2,4,4,2,2,0.0625,20,4,0,0.6617,0
Chemical_7590323878054352566,XNPQRYUNKPQOPF-UHFFFAOYSA-N,348.398,348.1362,4.168,69.92,3,4,3,3,4,0.1818,26,4,0,0.6644,0
Chemical_7167693167129311541,Cyclic Adenosine Monophosphate,329.209,329.0525,-0.817,154.84,3,10,1,2,4,0.5,22,12,0,0.5651,0
Chemical_1623800041486121828,DEUNVKAEJOZXBQ-UVNCQSPWSA-N,454.384,454.1111,-0.439,195.6,7,12,6,2,3,0.35,32,12,0,0.2199,2
Chemical_4093318152916518893,nan,306.27,306.074,1.037,130.61,6,7,1,2,3,0.2,22,7,0,0.4339,1
Chemical_1135340469209947920,KXCCKWRKONCMRZ-MYPZJPOHSA-N,350.455,350.2093,1.947,86.99,3,5,12,0,0,0.65,25,5,0,0.2167,0
Chemical_8371041992354201849,QZLKGEWVHZXRAM-ISJQQBSNSA-N,497.629,497.2989,0.04,110.08,3,9,7,0,6,1.0,35,9,0,0.4491,0
Chemical_1515363480297275658,ZAGYKNAXCCJVSM-JTQLQIEISA-N,152.237,152.1201,2.424,20.23,1,1,1,0,1,0.6,11,1,0,0.6115,0
Chemical_3358561300094231727,VGDQBNXQAOYMPS-KHQYYURSSA-N,354.45,354.1943,2.226,65.56,2,4,2,2,6,0.5714,26,5,0,0.812,0
Chemical_7153811934449225650,nan,484.721,484.3553,6.515,77.76,3,3,2,0,5,0.8387,35,4,0,0.4172,1
Chemical_5282546052563493735,NSEYWVWJDRQTET-QEMDYZRUSA-N,625.759,625.3251,3.848,139.67,2,10,7,1,4,0.6,45,10,0,0.261,1
Chemical_3053122542249122572,YNYCMZUNOUODED-LZJOJEPKSA-N,915.08,914.4875,0.887,283.98,10,17,9,0,8,0.9348,64,18,0,0.0665,3
Chemical_6039599121190912663,NNAZNRWIPXYANE-UHFFFAOYSA-N,328.456,328.2151,3.609,24.94,0,4,7,2,2,0.4,24,4,0,0.7751,0
Chemical_6844296992641682752,YJLWCUHAERZZBY-VCCMTOOWSA-N,292.463,292.2402,4.085,40.46,2,2,4,0,2,0.7895,21,2,0,0.7664,0
Chemical_5039888983366885250,nan,428.745,428.4018,8.249,20.23,1,1,0,0,5,1.0,31,1,0,0.4116,1
Chemical_3110791739277244576,Ethyl Cinnamate,176.215,176.0837,2.263,26.3,0,2,3,1,1,0.1818,13,2,0,0.5213,0
Chemical_1576047157351597648,GVGCIKKRNRWACL-NXEZZACHSA-N,170.252,170.1307,1.498,40.46,2,2,5,0,0,0.6,12,2,0,0.6137,0
Chemical_282352189307376293,"3Beta-Hydroxy-13-Hydroxymethyl-12-Methoxy-Ent-Podocarp-6,8,11,13-Tetraene",302.414,302.1882,3.269,49.69,2,3,2,1,3,0.5789,22,3,0,0.8813,0
Chemical_5751355288174581109,Nigelladine A,283.415,283.1936,4.428,29.43,0,2,1,0,3,0.5789,21,2,0,0.6998,0
Chemical_4244078955605719932,PDCFTPUXIGMZDM-SFHVURJKSA-N,426.465,426.1679,3.949,109.36,3,7,4,3,4,0.375,31,7,0,0.428,0
Chemical_5689827539714030515,NVEQFIOZRFFVFW-RMRHIDDWSA-N,220.356,220.1827,3.936,12.53,0,1,0,0,3,0.8667,16,1,0,0.4448,0
Chemical_1381844188791367251,ACHDPRAJHGRGDC-UHFFFAOYSA-N,136.154,136.0637,1.35,62.95,1,3,0,1,1,0.2857,10,3,0,0.5851,0
Chemical_6007450695587796283,nan,578.669,578.2529,7.066,127.03,2,7,5,3,6,0.3235,43,9,0,0.2449,2
Chemical_791329434397458640,NZYBILDYPCVNMU-UHFFFAOYSA-N,161.248,161.1204,2.154,12.03,1,1,1,1,2,0.4545,12,1,0,0.6652,0
Chemical_1343413785477115240,MOCOVNGOINOTNW-XXJDAYKBSA-N,424.402,424.1369,-2.615,166.28,5,10,0,0,6,0.8,30,10,0,0.2053,0
Chemical_2317402207930209656,LRSZCABOCNICES-PFICTPMUSA-N,784.981,784.4609,1.097,228.22,9,14,7,0,7,0.9512,55,14,0,0.1649,3
Chemical_8378009396790659607,OKSYGNZRHZRPCI-MRTLCKSKSA-N,392.492,392.2199,2.499,74.22,1,6,1,0,5,0.8636,28,6,0,0.7391,0
Chemical_6014483425060579394,AOJWKPQIUREKNP-UHFFFAOYSA-N,252.27,252.111,3.417,86.28,0,4,2,1,1,0.5,18,6,0,0.5957,0
Chemical_4002906886633051075,AHJWMSQZOWKKJQ-PLNGDYQASA-N,208.373,208.005,2.446,17.07,0,3,6,0,0,0.4286,11,4,0,0.4929,0
Chemical_5164862857994629072,XVXPXUMUGATHPD-GHJITMOCSA-N,426.729,426.3862,8.025,20.23,1,1,1,0,5,0.9333,31,1,0,0.4207,1
Chemical_8710219213478376357,nan,314.466,314.2457,4.292,70.06,2,3,16,0,1,0.9444,22,4,0,0.3292,0
Chemical_4907886481990875438,nan,481.806,481.4495,8.003,69.56,3,3,26,0,0,0.9,34,4,0,0.0865,1
Chemical_7287822547450969757,RAWCIZOYSXHPJN-PKNBQFBNSA-N,164.292,164.1565,3.926,0.0,0,0,5,0,0,0.6667,12,0,0,0.4264,0
Chemical_2699322550441291493,ROWKODQLOIEBHL-XCWFNORRSA-N,416.47,416.1835,2.686,110.13,2,7,3,1,3,0.5217,30,7,0,0.5757,0
Chemical_1615053984204754120,HBGUTBHLNQISCQ-UHFFFAOYSA-N,438.52,438.2042,5.61,96.22,3,6,7,2,3,0.3462,32,6,0,0.4864,1
Chemical_5033673641610864404,UZIOUZHBUYLDHW-LTVHJKFFSA-N,801.024,800.4922,1.12,239.22,10,14,10,0,6,0.9524,56,14,0,0.1102,3
Chemical_6542632139791425082,YEQCMNVFKIRZEQ-VHAPPMNBSA-N,778.859,778.3214,2.436,168.5,3,14,5,1,12,0.5814,57,14,0,0.1726,2
Chemical_6002880740797393756,SWUDFTFZJZYYDY-WBOJAVRRSA-N,262.393,262.1933,4.101,26.3,0,2,2,0,3,0.8235,19,2,0,0.553,0
Chemical_3677025468029662408,Glyceryl Monooleate,356.547,356.2927,4.92,66.76,2,4,18,0,0,0.8571,25,4,0,0.2077,0
Chemical_4764490078692406585,CFQCSBMXAIKJLN-FUYFFLBFSA-N,527.658,527.2883,1.855,108.69,3,8,5,1,7,0.7667,38,8,0,0.4983,1
Chemical_378898027205621851,nan,316.401,316.1787,2.273,60.85,1,3,5,1,2,0.4444,23,5,0,0.8467,0
Chemical_4812100704115215315,Alstiphyllanine F,592.645,592.2421,3.507,114.02,1,11,8,2,7,0.5,43,11,0,0.3589,2
Chemical_1708322769971211906,JFWCEOZJEWNPOW-GQOQCBKBSA-N,317.385,317.1627,1.995,51.16,1,5,3,1,4,0.5556,23,5,0,0.8643,0
Chemical_5745452639499874216,Floralginsenoside Tc,1127.278,1126.5771,-3.125,406.75,16,25,17,0,8,0.9623,78,25,0,0.0296,3
Chemical_5544632063451877055,Pratensein,300.266,300.0634,2.585,100.13,3,6,2,3,3,0.0625,22,6,0,0.6723,0
Chemical_6411178430967412771,VPQXQYWWGHLTKF-UHFFFAOYSA-N,134.2,134.0402,1.608,26.3,0,3,3,0,0,0.8,8,3,0,0.433,0
Chemical_367845171524132215,CZLWREWIXSHVJD-AYFFSUKUSA-N,564.675,564.2723,4.754,116.2,1,8,5,1,4,0.5152,41,8,0,0.2357,1
Chemical_5064367273922051306,PWKVHHWFBTXMHU-UFNANVBGSA-N,372.417,372.1573,3.038,77.38,2,6,4,2,4,0.4286,27,6,0,0.8591,0
Chemical_4779930929187327835,"3,8-Dihydroxybenzo[C]Chromen-6-One",228.203,228.0423,2.357,70.67,2,4,0,3,3,0.0,17,4,0,0.4574,0
Chemical_3676019525832094520,Metoprolol,267.369,267.1834,1.613,50.72,2,4,9,1,1,0.6,19,4,0,0.7136,0
Chemical_964915137161954685,MRDZSBVJWOXBRW-XCBNKYQSSA-N,182.219,182.0943,1.109,49.69,2,3,3,1,1,0.4,13,3,0,0.7358,0
Chemical_7898061407861748750,"[(1S,3R,6S,7S,8S,9S,10S,11S,14S,16S)-6-acetyl-14-[(2R,4R,5R,6R)-5-[(2S,3R,4R,5R,6R)-3,5-dihydroxy-4-methoxy-6-methyloxan-2-yl]oxy-4-methoxy-6-methyloxan-2-yl]oxy-8-hydroxy-7,11-dimethyl-2-oxapentacyclo[8.8.0.01,3.03,7.011,16]octadecan-9-yl] benzoate",772.929,772.4034,3.718,171.97,3,13,9,1,8,0.8095,55,13,0,0.1887,2
Chemical_3498979643076425501,CQFVYCZSZSAVQY-WCLIBMSKSA-N,956.812,956.2223,-3.776,447.72,17,23,11,2,6,0.3409,68,24,0,0.0584,3
Chemical_4907025465237392726,HQNOUCSPWAGQND-UHFFFAOYSA-N,432.381,432.1056,0.783,170.05,6,10,3,3,4,0.2857,31,10,0,0.3476,1
Chemical_4883241116842030839,QXPOWGXRDUFAQW-UHFFFAOYSA-N,414.586,414.277,6.864,74.6,2,4,9,0,1,0.5385,30,4,0,0.319,1
Chemical_758590455161949563,CCXXIROIENJKKR-LQDZTQBFSA-N,392.36,392.1107,-0.492,156.91,6,9,5,2,3,0.3158,28,9,0,0.3694,1
Chemical_2870281642067990232,AFGACPRTZOCNIW-UHFFFAOYSA-N,88.175,88.0347,1.883,0.0,0,1,2,0,0,0.5,5,1,0,0.4964,0
Chemical_8511383678782543988,VFIFMJYWVUYCHB-OHXXAWQDSA-N,534.602,534.2465,2.292,142.5,1,10,4,0,4,0.75,38,10,0,0.3242,1
Chemical_5672581415133690903,RMXIBHMYFSTGIJ-CENGQTDPSA-N,714.802,714.3463,0.157,223.29,7,15,8,0,7,0.9143,50,15,0,0.077,3
Chemical_1875373008243496990,QAALPZMRHLRTRD-ZCFIWIBFSA-N,282.248,282.074,0.108,120.36,4,7,4,2,2,0.3077,20,7,0,0.5872,0
Chemical_5289879285067981145,Heptadecanoic Acid,270.457,270.2559,5.942,37.3,1,1,15,0,0,0.9412,19,2,0,0.3737,1
Chemical_5918326421974340813,"6'',7''-Dihydro-5',5'''-Dicapsaicin",610.836,610.3982,9.464,124.1,4,6,20,2,2,0.5556,44,8,0,0.0512,2
