organism_id	ontology_name	sheet_name	common_names	source_url	paper_url
Organism_11220	Curcuma wenyujin	Curcuma wenyujin	Wen yu jin	https://webprod.hc-sc.gc.ca/nhpid-bdipsn/orgReq?id=224	https://doi.org/10.1016/j.jep.2020.113689
Organism_44801	Cryptomeria japonica var. sinensis	Cryptomeria japonica var. sinensis	Chinese cedar; Chinese Japanese cedar	https://powo.science.kew.org/results?q=Cryptomeria%20japonica%20var.%20sinensis	
Organism_11218	Curcuma kwangsiensis	Curcuma kwangsiensis	Guangxi turmeric; Kwangsi turmeric	https://sys01.lib.hkbu.edu.hk/cmed/mpid/detail.php?herb_id=D00508&fac_family_latin=Zingiberaceae&fac_parent_latin=Curcuma&sort=name_pinyin&fac_family_chi=%E8%96%91%E7%A7%91&lang=eng	
Organism_45179	Isodon rubescens var. lushiensis	Isodon rubescens var. lushiensis	Dong Ling Cao; Ice Crystal Grass	https://www.hjmedicalgroup.com/en/post/dong-ling-cao-the-tcm-herb-for-soothing-throat-and-detoxification?srsltid=AfmBOop68z-OI2YrfnwYhwKupvytVI5cVMJin4-g-gSyf053neOR09La	
Organism_30075	Eucalyptus camaldulensis var. obtusa	Eucalyptus camaldulensis var. obtusa	river red gum; blunt-budded river red gum; red gum	https://apps.lucidcentral.org/euclid/text/entities/eucalyptus_camaldulensis_subsp._obtusa.htm	
Organism_44793	Curcuma phaeocaulis	Curcuma phaeocaulis	Ezhu; Lüsiyujin; Yu Jin		
Organism_2027	Rhaponticum carthamoides	Rhaponticum carthamoides	Maral root; Russian leuzea		
Organism_8226	Salvia syriaca	Salvia syriaca	Syrian sage		
Organism_44727	Mitracarpus scaber	Mitracarpus scaber	tropical girdlepod; button grass		
Organism_12980	Scutellaria amoena	Scutellaria amoena	Southwestern skullcap; Dian huang qin		
Organism_5624	Wikstroemia retusa	Wikstroemia retusa	ao-ganpi		
Organism_43810	Campylotropis hirtella	Campylotropis hirtella	Hairy Clovereshrub		
Organism_15581	Artemisia assoana	Artemisia assoana	Silver Spreader; Caucasian Artemisia; Caucasian wormwood		
Organism_12444	Swertia franchetiana	Swertia franchetiana	felwort; chiretta		
Organism_16258	Hypericum laricifolium	Hypericum laricifolium	Romerillo; Hierba de la fortuna; Abrecaminos; St. John's wort		
Organism_43860	Gnetum latifolium	Gnetum latifolium	Akar Suburus; Akar Tutubo; Tangkil; Trangkil		
Organism_10267	Adiantum lunulatum	Adiantum lunulatum	walking maidenhair fern; black maidenhair		
Organism_43768	Naucleopsis ternstroemiiflora	Naucleopsis ternstroemiiflora	muiratinga		
Organism_43787	Goniothalamus malayanus	Goniothalamus malayanus	Selayar hitam		
Organism_45161	Rhodiola semenovii	Rhodiola semenovii	Semenov's roseroot; roseroot; stonecrop; columnar-flowered roseroot		
Organism_43807	Viguiera incana	Viguiera incana	Goldeneye; Hoary Goldeneye; Incan Goldeneye		
Organism_43777	Cotyledon secunda	Cotyledon secunda (Echeveria secunda)	Blue Echeveria; Old Hens and Chicks		
Organism_43762	Hedysarum connatum	Hedysarum connatum	sweetvetch; sweet-broom; flooded sweetvetch; Siberian sweetvetch		
Organism_43759	Sabina sargentii	Sabina sargentii	Sargent juniper		
Organism_4256	Aconitum japonicum	Aconitum japonicum	Japanese monkshood; Japanese aconite		
Organism_17581	Sonneratia caseolaris	Sonneratia caseolaris	mangrove apple; apple mangrove; crabapple mangrove		
Organism_45158	Glycosmis macrophylla	Glycosmis macrophylla	large-leaf gin berry		
Organism_45177	Hypericum polyanthemum	Hypericum polyanthemum	St. John's Wort		
Organism_44847	Synotis alata	Synotis alata	winged senecio		
Organism_45181	Crotalaria candicans	Crotalaria candicans	rattlepod; rattlebox		
Organism_17656	Plectranthus myrianthus Briq	Plectranthus myrianthus Briq (Coleus hereroensis)	plectranthus		
Organism_45156	Salvia sessei	Salvia sessei	Sesse's Sage; Sesse Sage		
Organism_29931	Tristania conferta	Tristania conferta (Lophostemon confertus)	brush box; Brisbane box		
Organism_45153	Ceropegia dichotoma	Ceropegia dichotoma	cardoncillo		
Organism_45182	Eria japonica	Eria japonica (Conchidium japonicum)	Japanese eria; osa-ran; reed orchid		
Organism_45165	Mentha cardiaca	Mentha cardiaca	gingermint; redmint; Scotchmint; Scotch spearmint		
Organism_2917	Epimedium sagittatum	Epimedium sagittatum	horny goat weed; Barrenwort; Bishop's hat; Fairy wings; Sagittate epimedium		
Organism_16482	Haplophyllum obtusifolium Ldb.	Haplophyllum obtusifolium Ldb.	blunt-leaved rue; rue		
Organism_12010	Acorus tatarinowii	Acorus tatarinowii	grassy-leaved sweet flag; stone sweet flag; Shi Chang Pu		
