# source: Dr. Duke's Phytochemical & Ethnobotanical Database (COMMON_NAMES.csv joined to FNFTAX.csv via FNFNUM)
# retrieved/processed: 2026-08-18
organism_id	scientific_name	duke_common_name	all_duke_common_names
Organism_46258	Perilla frutescens var. arguta	Perilla	Perilla
Organism_11220	Curcuma wenyujin		
Organism_44801	Cryptomeria japonica var. sinensis		
Organism_11218	Curcuma kwangsiensis		
Organism_45179	Isodon rubescens var. lushiensis		
Organism_30075	Eucalyptus camaldulensis var. obtusa		
Organism_44793	Curcuma phaeocaulis		
Organism_2027	Rhaponticum carthamoides		
Organism_8226	Salvia syriaca		
Organism_11187	Cneorum pulverulentum		
Organism_44727	Mitracarpus scaber		
Organism_21396	Artemisia apiacea		
Organism_12980	Scutellaria amoena		
Organism_5624	Wikstroemia retusa		
Organism_43832	Calostephane divaricata		
Organism_15581	Artemisia assoana		
Organism_43810	Campylotropis hirtella		
Organism_4218	Picrorhiza kurrooa	Picrorhiza	Picrorhiza
Organism_12444	Swertia franchetiana		
Organism_16258	Hypericum laricifolium		
Organism_43860	Gnetum latifolium		
Organism_13298	Zanthoxylum tetraspermum		
Organism_43847	Peltostigma guatemalense		
Organism_10267	Adiantum lunulatum		
Organism_43852	Marrubium anisodon		
Organism_26002	Bishovia boliviensis		
Organism_1966	Alpinia blepharocalyx		
Organism_43768	Naucleopsis ternstroemiiflora		
Organism_43787	Goniothalamus malayanus		
Organism_45161	Rhodiola semenovii		
Organism_43807	Viguiera incana		
Organism_43777	Cotyledon secunda		
Organism_43762	Hedysarum connatum		
Organism_43759	Sabina sargentii		
Organism_4256	Aconitum japonicum		
Organism_6098	Stephania zippeliana Miq.		
Organism_17581	Sonneratia caseolaris		
Organism_45178	Breonia chinensis		
Organism_45158	Glycosmis macrophylla		
Organism_45177	Hypericum polyanthemum		
Organism_45181	Crotalaria candicans		
Organism_44847	Synotis alata		
Organism_17656	Plectranthus myrianthus Briq		
Organism_45156	Salvia sessei		
Organism_29931	Tristania conferta		
Organism_45153	Ceropegia dichotoma		
Organism_45182	Eria japonica		
Organism_45165	Mentha cardiaca		
Organism_2917	Epimedium sagittatum		
Organism_7435	Astragalus membranaceus	Huang-Chi	Huang-Chi; Huang Qi
Organism_16482	Haplophyllum obtusifolium Ldb.		
Organism_12010	Acorus tatarinowii		
Organism_3089	Tabernaemontana corymbosa		
Organism_11035	Lindera aggregata		
Organism_14949	Piper regnellii		
Organism_46045	Sideritis tragoriganum		
Organism_14637	Vellozia nanuzae		
Organism_16758	Chamomilla recutita (L.) Rauschert		
Organism_7349	Millettia erythrocalyx		
Organism_8245	Baccharis dracunculifolia		
Organism_22573	Atractylodes macrocephala		
Organism_8412	Esenbeckia leiocarpa		
Organism_6111	Cimicifuga foetida L.	Bugbane	Bugbane; Sheng ma; Foetid Bugbane
Organism_44132	Dolomiaea souliei		
Organism_16688	Aspidosperma subincanum		
Organism_6658	Plathymenia reticulata		
Organism_22130	Hoffmannia strigillosa		
Organism_44687	Buddleja cordata		
Organism_25514	Kaempferia marginata		
Organism_46004	Erysimum leptophyllum		
Organism_9567	Nauclea officinalis		
Plant_Boswellia_Carterii	Boswellia Carterii		
Organism_6217	Thymus piperella	Thyme	Thyme
Organism_18857	Hypericum styphelioides		
Organism_9846	Ononis vaginalis		
Organism_45206	Agrimonia pilosa var. japonica		
Organism_15780	Embelia parviflora		
Organism_19166	Erythrina melanacantha		
Organism_2973	Helichrysum tenuifolium		
Organism_46012	Euphorbia nematocypha		
Organism_6739	Guatteria boliviana		
Organism_3069	Laggera pterodonta		
Organism_7665	Atraphaxis spinosa		
Organism_7678	Ruta pinnata		
Organism_6761	Dracocephalum kotschyi		
Organism_46404	Crepis foetida subsp. rhoeadifolia		
Organism_46034	Faramea salicifolia		
Organism_23702	Lemaireocereus longispinus		
Organism_45349	Samadera indica		
Organism_11090	Scorzonera pseudodivaricata		
Plant_Aplophyllum_alberti-regelii	Aplophyllum alberti-regelii		
Organism_44154	Conocephalum japonicum		
Organism_45995	Cordia leucocephala		
Organism_46037	Diospyros assimilis		
Organism_45994	Eria anomala		
Organism_46026	Gymnocalycium schickendantzii		
Organism_46001	Monsonia senegalensis		
Organism_45997	Vernonia fagifolia		
Organism_44673	Alkanna cappadocica		
Organism_1146	Chrozophora obliqua		
Organism_44423	Ophryosporus charua		
Organism_18063	Isodon eriocalyx		
Organism_6169	Psiadia dentata		
Organism_2330	Isodon xerophilus		
Organism_15045	Salacia chinensis		
Organism_4094	Disynaphia halimifolia		
Organism_1322	Teucrium polium ssp. aurasianum	Golden Germander	Golden Germander
Organism_17846	Centrolobium tomentosum		
Organism_44312	Peritassa compta		
Organism_2062	Alangium premnifolium		
Organism_44676	Artemisia dentata		
Organism_3132	Alstonia angustifolia		
Organism_227	Chlamydomonas reinhardtii		
Organism_35325	Cryptocarya aschersoniana		
Organism_46042	Myrica nana		
Organism_35308	Rapanea lancifolia		
Plant_Buphane_fischeri	Buphane fischeri		
Organism_44664	Lemaireocereus griseus		
Organism_1728	Sideritis arborescens		
Organism_14312	Dioscorea futschauensis		
Organism_3059	Euphorbia kansui		
Organism_6315	Securidaca inappendiculata		
Organism_44307	Ardisia neriifolia		
Organism_44305	Eupatorium argentinum		
Organism_22419	Evodia rutaecarpa BENTHAM		
Organism_44308	Rheedia acuminata		
Organism_44103	Castanopsis sclerophylla		
Organism_44696	Cnidium officinale	Jih-Chiung	Jih-Chiung
Organism_12780	Heliotropium floridum		
Organism_6364	Sophora angustifolia	Narrowleaf Sophora	Narrowleaf Sophora
Organism_44262	Aconitum nevadense		
Organism_44923	Kaempferia pulchra		
Organism_46019	Ligularia atroviolacea		
Organism_44294	Satureja cuneifolia	Cuneate Turkish Savory	Cuneate Turkish Savory
Organism_21433	Croton cumingii		
Organism_12720	Parabenzoin trilobum		
Organism_20941	Delphinium dictyocarpum DC.		
Organism_24130	Lippia carviodora		
Organism_26373	Stevia polycephala		
Organism_23016	Kaunia saltensis		
Organism_44110	Trichilia rubescens		
Organism_44291	Bersama yangambiensis		
Organism_44075	Culcitium canescens		
Organism_44148	Doodia picta		
Organism_44313	Grewia mollis		
Organism_44217	Narcissus concolor		
Organism_12118	Viguiera decurrens		
Organism_44187	Alseodaphne corneri		
Organism_44221	Annona impressivenia		
Organism_44058	Forsteronia refracta		
Organism_43906	Isodon lophanthoides		
Organism_44288	Oncoba echinata		
Organism_43781	Dysoxylum lenticellatum		
Organism_22996	Odixia angusta		
Organism_2848	Cirsium dipsacolepis		
Organism_3525	Tripterygium hypoglaucum		
Organism_22068	Blainvillea latifolia		
Organism_44127	Salacia lehmbachii		
Organism_3098	Bongardia chrysogonum		
Organism_20234	Geigeria schinzii		
Organism_7502	Nicotiana undulata		
Organism_44070	Sideritis brevibracteata		
Organism_4386	Uvaria calamistrata		
Organism_6945	Aceriphyllum rossii		
Organism_6122	Berberis integerrima		
Organism_2263	Rubia yunnanensis		
Organism_2021	Curcuma aeruginosa		
Organism_2828	Garcinia hombroniana		
Organism_17127	Schisandra propinqua		
Organism_11133	Ficus formosana		
Organism_44111	Kokoona reflexa		
Organism_2150	Phoebe formosana		
Plant_Annona_Cherimolia	Annona Cherimolia		
Organism_10374	Bridelia ferruginea		
Organism_3524	Euonymus tingens		
Organism_2492	Garcinia scortechinii		
Organism_44419	Goniothalamus undulatus		
Organism_6282	Salvia prionitis		
Organism_12410	Chloranthus tianmushanensis		
Plant_Jugo	Jugo		
Organism_8021	Laggera alata		
Organism_43990	Araiostegiella perdurans		
Organism_16747	Cladogynos orientalis		
Organism_44041	Maesa ramentacea		
Organism_46010	Scutellaria glabra		
Organism_15197	Porella swartziana		
Organism_44180	Rheum webbianum		
Organism_19865	Ormosia panamensis		
Organism_44931	Chromolaena pulchella		
Organism_49009	Ilex kaushue		
Organism_21714	Nemuaron humboldtii		
Organism_7077	Ophryosporus floribundus		
Organism_44420	Cheilanthes marantae		
Organism_44418	Helichrysum angustifolium	Everlasting	Everlasting; Immortelle
Organism_44935	Ilex affinis		
Organism_44406	Leontice kiangnanensis		
Organism_44416	Medium grandiflorum		
Organism_44412	Pteris spinulosa		
Organism_19063	Saussurea involucrata		
Organism_14790	Berneuxia thibetica		
Organism_8521	Epaltes gariepina		
Organism_44921	Stenostomum lucidum		
Organism_24515	Isodon kameba		
Plant_Juniperus_serawschanica	Juniperus serawschanica		
Organism_44930	Simira eliezeriana		
Organism_45386	Teucrium pestalozzae		
Organism_13164	Gardenia fosbergii		
Organism_47592	Pinus densiflora var. densiflora		
Organism_3709	Polygonum cuspidatum		
Plant_Tachigalia_paniculata	Tachigalia paniculata		
Organism_15220	Beyeria brevifolia		
Organism_43742	Cinamomum cassia		
Organism_35337	Alibertia macrophylla		
Organism_45416	Aristolochia zollingeriana		
Organism_44315	Senecio flavus		
Organism_45365	Tripodanthus acutifolius		
Organism_24788	Vitex madiensis		
Organism_23031	Cynomorium songaricum		
Organism_50858	Imperata cylindrica var. major		
Organism_25017	Piptolepis leptospermoides		
Organism_44937	Anaxagorea clavata		
Organism_44924	Aria pallescens		
Organism_44949	Echinops amplexicaulis		
Organism_45434	Ehretia dicksonii		
Organism_44096	Gerbera piloselloides		
Organism_3050	Millettia conraui		
Plant_Panax_Pseudo-Ginseng_Var._Notoginseng	Panax Pseudo-Ginseng Var. Notoginseng		
Organism_44945	Pteris prolifera		
Organism_44933	Pterocarpus grandiflorus		
Organism_44156	Sidastrum acuminatum		
Organism_26504	Uvaria mocoli		
Organism_4502	Verbascum georgicum		
Organism_12926	Aristolochia kaempferi		
Organism_46682	Coreopsis nodosa		
Organism_46545	Haematococcus lacustris		
Organism_49411	Cydonia vulgaris		
Organism_5787	Eskemukerjea megacarpum HARA		
Organism_7174	Plantago lundborgii		
Organism_24063	Trigonella grandiflora		
Organism_20342	Dorstenia barnimiana		
Organism_12575	Bidens pilosa var. radiata		
Organism_48069	Clusia ellipticifolia		
Organism_12689	Coptis deltoidea		
Organism_20351	Dorstenia lindeniana		
Organism_14633	Senecio paludaffinis		
Organism_2417	Veronica pectinata var.glandulosa		
Organism_3997	Anemarrhena asphodeloides	Chih-Mu	Chih-Mu; Zhi-Mu
Organism_20570	Coreopsis fasciculata		
Organism_44252	Salvia coulteri		
Organism_30131	Zieria chevalieri		
Organism_21185	Dalbergia stipulacea		
Organism_8582	Herbertus sakuraii		
Organism_44215	Pedicularis condensata		
Organism_2237	Eupatorium chinense		
Organism_18396	Licaria chrysophylla		
Organism_6205	Lonchocarpus laxiflorus		
Organism_10036	Magnolia biondii		
Organism_10147	Mesembryanthemum anatomicum		
Plant_Panax_schinseng	Panax schinseng		
Organism_1969	Achillea leptophylla		
Organism_45354	Aconitum brevicalcaratum		
Organism_48048	Astragalus ernestii		
Organism_9716	Centaurea seridis		
Organism_2463	Kopsia arborea		
Plant_Myrica_Multiflora	Myrica Multiflora		
Organism_21949	Phlogacanthus thyrsiflorus		
Organism_25469	Ruta microcarpa		
Organism_3322	Sophora viciifolia		
Organism_44209	Turraeanthus mannii		
Organism_25834	Adonis sutchuenensis		
Organism_6773	Ammodendron conollyi		
Organism_17632	Crinum defixum Ker-Gawl		
Organism_45342	Greenwayodendron oliveri		
Organism_1656	Juniperus thurifera var. africana		
Organism_4980	Scutellaria seleriana		
Organism_44045	Clibadium pentaneuron		
Organism_13060	Dendrobium rotundatum		
Organism_44150	Urtica triangularis		
Organism_8609	Virola multinervia		
Organism_25358	Xanthium sibiricum		
Organism_18454	Alstonia angustiloba		
Organism_45452	Beilschmiedia anacardioides		
Organism_45363	Croton rhamnifolius		
Organism_45364	Eria subsessilis		
Organism_44208	Jungermannia obovata		
Organism_45399	Knightia deplanchei		
Organism_44386	Rubia ustulata		
Organism_48067	Solanum pseudoquina		
Organism_45401	Solanum racemigerum		
Organism_10725	Tarenna attenuata		
Organism_48056	Acacia armata		
Organism_8676	Aglaia gigantea		
Organism_15983	Garcinia pyrifera		
Organism_14641	Lonicera fulvotomentosa		
Organism_44100	Mascarenhasia arborescens		
Organism_46887	Periploca forrestii		
Organism_10112	Piper futokadsura		
Organism_9931	Ratibida latipalearis		
Organism_48051	Stilpnopappus pickelii		
Organism_44266	Adenopeltis colliguaya		
Organism_44264	Cereus weberi		
Organism_44248	Coleus garckeanus		
Organism_30340	Eriostemon fitzgeraldii		
Organism_44399	Hortonia floribunda		
Organism_4739	Lotus japonicus		
Organism_44053	Croton sparsiflorus		
Organism_44134	Lonicera hypoleuca		
Organism_6987	Otostegia fruticosa		
Organism_43788	Strychnos fendleri		
Organism_44763	Cinnamomum philippinense		
Organism_7179	Triaenophora rupestris		
Organism_44048	Weddellina squamulosa		
Organism_44054	Andropogon nardus		
Organism_2765	Beesia calthifolia		
Organism_9573	Botryococcus braunii Kawaguchi-1 strain		
Organism_21388	Eleutherococcus giraldii		
Plant_Espeletia_marcana	Espeletia marcana		
Plant_Neoalsomitra_integrifolia	Neoalsomitra integrifolia		
Organism_44068	Petasites niveus		
Organism_44073	Solanum toxicarium		
Organism_10254	Gardenia tubifera		
Organism_43775	Kochia trichophylla		
Organism_14569	Uncaria macrophylla		
Organism_4211	Zanthoxylum integrifoliolum		
Organism_43921	Kopsia grandifolia		
Organism_2306	Taxus yunnanensis	Yunnan Yew	Yunnan Yew
Organism_22784	Loranthus parasiticus		
Organism_3109	Murraya euchrestifolia		
Organism_4497	Sophora alopecuroides		
Organism_48931	Artemisia carvifolia		
