# source: iNaturalist taxa API (preferred_common_name), matched by scientific name
# retrieved: 2026-08-19
organism_id	scientific_name	inat_common_name	inat_taxon_id
Organism_11220	Curcuma wenyujin		
Organism_44801	Cryptomeria japonica var. sinensis		
Organism_11218	Curcuma kwangsiensis		1157200
Organism_45179	Isodon rubescens var. lushiensis		
Organism_30075	Eucalyptus camaldulensis var. obtusa		
Organism_44793	Curcuma phaeocaulis		922634
Organism_2027	Rhaponticum carthamoides		793348
Organism_8226	Salvia syriaca	Syrian Sage	907297
Organism_11187	Cneorum pulverulentum		701053
Organism_44727	Mitracarpus scaber		
Organism_21396	Artemisia apiacea		
Organism_12980	Scutellaria amoena		1123454
Organism_5624	Wikstroemia retusa		905115
Organism_43832	Calostephane divaricata		581667
Organism_15581	Artemisia assoana		1607479
Organism_43810	Campylotropis hirtella		1275997
Organism_12444	Swertia franchetiana		934848
Organism_16258	Hypericum laricifolium		336610
Organism_43860	Gnetum latifolium		135991
Organism_13298	Zanthoxylum tetraspermum		1532460
Organism_43847	Peltostigma guatemalense		911562
Organism_10267	Adiantum lunulatum		
Organism_43852	Marrubium anisodon		924438
Organism_26002	Bishovia boliviensis		1079111
Organism_1966	Alpinia blepharocalyx		
Organism_43768	Naucleopsis ternstroemiiflora		
Organism_43787	Goniothalamus malayanus		427755
Organism_45161	Rhodiola semenovii		960535
Organism_43807	Viguiera incana		
Organism_43777	Cotyledon secunda		
Organism_43762	Hedysarum connatum		
Organism_43759	Sabina sargentii		
Organism_4256	Aconitum japonicum	Japanese Monkshood	564703
Organism_6098	Stephania zippeliana Miq.		
Organism_17581	Sonneratia caseolaris	apple mangrove	196662
Organism_45178	Breonia chinensis		824589
Organism_45158	Glycosmis macrophylla		
Organism_45177	Hypericum polyanthemum		859517
Organism_45181	Crotalaria candicans		1147541
Organism_44847	Synotis alata		951199
Organism_17656	Plectranthus myrianthus Briq		
Organism_45156	Salvia sessei		291656
Organism_29931	Tristania conferta		
Organism_45153	Ceropegia dichotoma		525556
Organism_45182	Eria japonica		
Organism_45165	Mentha cardiaca		
Organism_2917	Epimedium sagittatum		1230568
Organism_16482	Haplophyllum obtusifolium Ldb.		
Organism_12010	Acorus tatarinowii		
Organism_3089	Tabernaemontana corymbosa		344978
