# classification: plant = under NCBI Viridiplantae (taxid 33090)
organism_id	scientific_name	status	matched_taxid	matched_rank	kingdom
Organism_393	Arabidopsis thaliana	plant	3702	species	Viridiplantae
Organism_1831	Panax ginseng	plant	4054	species	Viridiplantae
Organism_5632	Zingiber officinale	plant	94328	species	Viridiplantae
Organism_730	Capsicum annuum	plant	4072	species	Viridiplantae
Organism_1819	Vitis vinifera	plant	29760	species	Viridiplantae
Organism_375	Mangifera indica	plant	29780	species	Viridiplantae
Organism_245	Citrus reticulata	plant	85571	species	Viridiplantae
Organism_2079	Tripterygium wilfordii	plant	458696	species	Viridiplantae
Organism_1599	Artemisia annua	plant	35608	species	Viridiplantae
Organism_260	Camellia sinensis	plant	4442	species	Viridiplantae
Organism_524	Nicotiana tabacum	plant	4097	species	Viridiplantae
Organism_2976	Humulus lupulus	plant	3486	species	Viridiplantae
Organism_2889	Morus alba	plant	3498	species	Viridiplantae
Organism_2361	Daucus carota	plant	4039	species	Viridiplantae
Organism_2984	Phaseolus vulgaris	plant	3885	species	Viridiplantae
Organism_3796	Glycyrrhiza uralensis	plant	74613	species	Viridiplantae
Organism_5342	Angelica sinensis	plant	165353	species	Viridiplantae
Organism_7381	Foeniculum vulgare L.	plant	2849586	species	Viridiplantae
Organism_46258	Perilla frutescens var. arguta	plant	381201	varietas	Viridiplantae
Organism_735	Oryza sativa	plant	4530	species	Viridiplantae
Organism_4469	Eucalyptus globulus	plant	34317	species	Viridiplantae
Organism_2684	Lonicera japonica	plant	105884	species	Viridiplantae
Organism_1185	Citrullus lanatus	plant	3654	species	Viridiplantae
Plant_tomato	tomato	plant	4081	species	Viridiplantae
Organism_6931	Murraya paniculata	plant	43711	species	Viridiplantae
Organism_3719	Melia azedarach	plant	155640	species	Viridiplantae
Organism_1843	Taxus wallichiana	plant	147273	species	Viridiplantae
Organism_5226	Angelica acutiloba	plant	55605	species	Viridiplantae
Organism_3854	Vitex negundo	plant	361442	species	Viridiplantae
Organism_4166	Salvia officinalis	plant	38868	species	Viridiplantae
Organism_15778	Ginkgo biloba L.	plant	3311	species	Viridiplantae
Organism_9134	Citrus medica	plant	171251	species	Viridiplantae
Organism_1178	Curcuma longa	plant	136217	species	Viridiplantae
Organism_105	Cannabis sativa	plant	3483	species	Viridiplantae
Organism_3190	Artemisia capillaris	plant	265783	species	Viridiplantae
Organism_2658	Catharanthus roseus	plant	4058	species	Viridiplantae
Organism_2370	Sophora flavescens	plant	49840	species	Viridiplantae
Organism_2512	Pisum sativum	plant	3888	species	Viridiplantae
Organism_2000	Annona squamosa	plant	301693	species	Viridiplantae
Organism_9620	Artemisia argyi	plant	259893	species	Viridiplantae
Organism_7145	Piper nigrum	plant	13216	species	Viridiplantae
Organism_21654	Valeriana officinalis var. latifolia	plant	323659	varietas	Viridiplantae
Organism_26945	Citrus deliciosa	plant	558547	forma	Viridiplantae
Organism_5341	Angelica gigas	plant	85712	species	Viridiplantae
Organism_692	Citrus unshiu	plant	55188	species	Viridiplantae
Organism_20979	Chaenomeles sinensis	plant	36622	species	Viridiplantae
Organism_11242	Hypericum perforatum L.	plant	65561	species	Viridiplantae
Organism_4958	Schisandra chinensis	plant	50507	species	Viridiplantae
Organism_1964	Psidium guajava	plant	120290	species	Viridiplantae
Organism_11220	Curcuma wenyujin	plant	136221	species	Viridiplantae
Organism_18303	Brassica oleracea var. sabauda	plant	1216010	varietas	Viridiplantae
Plant_Chrysanthemum_X_Morifolium	Chrysanthemum X Morifolium	plant	41568	species	Viridiplantae
Organism_2671	Brucea javanica	plant	210348	species	Viridiplantae
Organism_614	Chrysanthemum indicum	plant	146995	species	Viridiplantae
Organism_4809	Gardenia jasminoides	plant	114476	species	Viridiplantae
Organism_1847	Azadirachta indica	plant	124943	species	Viridiplantae
Organism_2367	Panax notoginseng	plant	44586	species	Viridiplantae
Organism_1287	Apium graveolens	plant	4045	species	Viridiplantae
Organism_5277	Ziziphus jujuba	plant	326968	species	Viridiplantae
Plant_common_sunflower	common sunflower	plant	4232	species	Viridiplantae
Organism_2168	Periploca sepium	plant	190712	species	Viridiplantae
Plant_pomegranate	pomegranate	plant	22663	species	Viridiplantae
Organism_9516	Aloe vera	plant	34199	species	Viridiplantae
Organism_1746	Allium cepa	plant	4679	species	Viridiplantae
Organism_693	Citrus sinensis	plant	2711	species	Viridiplantae
Organism_5397	Isatis tinctoria	plant	161756	species	Viridiplantae
Organism_5850	Nelumbo nucifera	plant	4432	species	Viridiplantae
Organism_1818	Carthamus tinctorius	plant	4222	species	Viridiplantae
Organism_2083	Annona muricata	plant	13337	species	Viridiplantae
Organism_178	Brassica rapa	plant	3711	species	Viridiplantae
Organism_44801	Cryptomeria japonica var. sinensis	plant	99810	varietas	Viridiplantae
Organism_5182	Thymus vulgaris	plant	49992	species	Viridiplantae
Organism_2398	Citrus maxima	plant	37334	species	Viridiplantae
Organism_2327	Atractylodes lancea	plant	41486	species	Viridiplantae
Organism_5766	Curcuma zedoaria	plant	136224	species	Viridiplantae
Organism_1793	Punica granatum	plant	22663	species	Viridiplantae
Organism_5876	Syzygium aromaticum	plant	219868	species	Viridiplantae
Plant_potato	potato	plant	4113	species	Viridiplantae
Organism_32088	Prunus avium L.	plant	42229	species	Viridiplantae
Organism_5735	Pogostemon cablin	plant	28511	species	Viridiplantae
Organism_7576	Allium sativum	plant	4682	species	Viridiplantae
Organism_4146	Salvia miltiorrhiza	plant	226208	species	Viridiplantae
Organism_43722	Aconitum carmichaelii	plant	85363	species	Viridiplantae
Plant_liquorice	liquorice	unmatched			
Organism_6457	Acorus calamus	plant	4465	species	Viridiplantae
Organism_4594	Gynostemma pentaphyllum	plant	182084	species	Viridiplantae
Organism_2129	Medicago sativa	plant	3879	species	Viridiplantae
Organism_3013	Houttuynia cordata	plant	16752	species	Viridiplantae
Organism_192	Zea mays	plant	4577	species	Viridiplantae
Organism_538	Crocus sativus	plant	82528	species	Viridiplantae
Organism_10747	Zanthoxylum schinifolium	plant	354530	species	Viridiplantae
Plant_Paeonia_Lactiflora_Wild	Paeonia Lactiflora Wild	plant	35924	species	Viridiplantae
Organism_6236	Zanthoxylum bungeanum	plant	328401	species	Viridiplantae
Organism_4354	Glycyrrhiza glabra	plant	49827	species	Viridiplantae
Organism_2516	Triticum aestivum	plant	4565	species	Viridiplantae
Organism_11218	Curcuma kwangsiensis	plant	136216	species	Viridiplantae
Organism_45179	Isodon rubescens var. lushiensis	plant	587669	species	Viridiplantae
Organism_2977	Morinda citrifolia	plant	43522	species	Viridiplantae
Organism_3110	Magnolia officinalis	plant	85864	species	Viridiplantae
Organism_1422	Phyllanthus emblica	plant	296036	species	Viridiplantae
Organism_713	Rehmannia glutinosa	plant	99300	species	Viridiplantae
Organism_5688	Hippophae rhamnoides	plant	193516	species	Viridiplantae
Organism_2668	Raphanus sativus	plant	3726	species	Viridiplantae
Organism_2303	Taxus cuspidata	plant	99806	species	Viridiplantae
Organism_6470	Prunus persica	plant	3760	species	Viridiplantae
Organism_6017	Zanthoxylum piperitum	plant	354529	species	Viridiplantae
Organism_2286	Beta vulgaris	plant	161934	species	Viridiplantae
Organism_3121	Isodon japonicus	plant	425908	species	Viridiplantae
Organism_25166	Citrus paradisi x Citrus tangerina	plant	37656	species	Viridiplantae
Organism_2205	Momordica charantia	plant	3673	species	Viridiplantae
Organism_3626	Rosmarinus officinalis	plant	39367	species	Viridiplantae
Organism_1791	Citrus aurantium	plant	43166	species	Viridiplantae
Plant_maize	maize	plant	4577	species	Viridiplantae
Organism_1365	Olea europaea	plant	4146	species	Viridiplantae
Organism_16533	Artemisia princeps	plant	223870	species	Viridiplantae
Organism_14356	Ephedra sinica	plant	33152	species	Viridiplantae
Organism_30075	Eucalyptus camaldulensis var. obtusa	plant	2780446	subspecies	Viridiplantae
Organism_249	Lycium chinense	plant	112883	species	Viridiplantae
Organism_3012	Glycine max	plant	3847	species	Viridiplantae
Organism_4691	Bupleurum chinense	plant	52451	species	Viridiplantae
Organism_2832	Rauvolfia vomitoria	plant	403115	species	Viridiplantae
Organism_2867	Xylocarpus granatum	plant	241841	species	Viridiplantae
Organism_171	Carica papaya	plant	3649	species	Viridiplantae
Organism_25532	Cinnamomum aromaticum	plant	119260	species	Viridiplantae
Organism_32068	Pastinaca sativa L.	plant	4041	species	Viridiplantae
Plant_soybean	soybean	plant	3847	species	Viridiplantae
Organism_1177	Cyperus rotundus	plant	512623	species	Viridiplantae
Organism_1588	Spinacia oleracea	plant	3562	species	Viridiplantae
Organism_4156	Glycyrrhiza inflata	plant	74614	species	Viridiplantae
Organism_1816	Papaver somniferum	plant	3469	species	Viridiplantae
Organism_44095	Mentha canadensis	plant	294733	species	Viridiplantae
Organism_2012	Taxus baccata	plant	25629	species	Viridiplantae
Organism_11073	Hypericum japonicum	plant	282542	species	Viridiplantae
Organism_4643	Scutellaria barbata	plant	396367	species	Viridiplantae
Organism_44793	Curcuma phaeocaulis	plant	136218	species	Viridiplantae
Organism_1063	Trigonella foenum-graecum	plant	78534	species	Viridiplantae
Organism_5192	Cichorium intybus	plant	13427	species	Viridiplantae
Organism_5347	Glehnia littoralis	plant	48119	species	Viridiplantae
Organism_13562	Premna odorata	plant	1037421	species	Viridiplantae
Organism_2027	Rhaponticum carthamoides	plant	362630	species	Viridiplantae
Organism_19658	Dendrobium loddigesii	plant	117954	species	Viridiplantae
Organism_5354	Ligusticum sinense	plant	3420723	species	Viridiplantae
