# source: POWO /api/2 (Kew Species Profiles prose); extracted heuristically, REVIEW ME
# retrieved: 2026-08-21
organism_id	scientific_name	powo_fqid	matched_name	accepted	powo_common_name	language	all_common_names	pattern	evidence
Organism_11220	Curcuma wenyujin			no					
Organism_44801	Cryptomeria japonica var. sinensis			no					
Organism_11218	Curcuma kwangsiensis			no					
Organism_45179	Isodon rubescens var. lushiensis			no					
Organism_30075	Eucalyptus camaldulensis var. obtusa			no					
Organism_44793	Curcuma phaeocaulis			no					
Organism_2027	Rhaponticum carthamoides			no					
Organism_8226	Salvia syriaca			no					
Organism_11187	Cneorum pulverulentum			no					
Organism_44727	Mitracarpus scaber			no					
Organism_21396	Artemisia apiacea			no					
Organism_12980	Scutellaria amoena			no					
Organism_5624	Wikstroemia retusa			no					
Organism_43832	Calostephane divaricata			no					
Organism_15581	Artemisia assoana			no					
Organism_43810	Campylotropis hirtella			no					
Organism_12444	Swertia franchetiana			no					
Organism_16258	Hypericum laricifolium			no					
Organism_43860	Gnetum latifolium			no					
Organism_13298	Zanthoxylum tetraspermum			no					
Organism_43847	Peltostigma guatemalense			no					
Organism_10267	Adiantum lunulatum			no					
Organism_43852	Marrubium anisodon			no					
Organism_26002	Bishovia boliviensis			no					
Organism_1966	Alpinia blepharocalyx			no					
Organism_43768	Naucleopsis ternstroemiiflora			no					
Organism_43787	Goniothalamus malayanus			no					
Organism_45161	Rhodiola semenovii			no					
Organism_43807	Viguiera incana			no					
Organism_43777	Cotyledon secunda			no					
Organism_43762	Hedysarum connatum			no					
Organism_43759	Sabina sargentii			no					
Organism_4256	Aconitum japonicum			no					
Organism_6098	Stephania zippeliana Miq.			no					
Organism_17581	Sonneratia caseolaris			no					
Organism_45178	Breonia chinensis			no					
Organism_45158	Glycosmis macrophylla			no					
Organism_45177	Hypericum polyanthemum			no					
Organism_45181	Crotalaria candicans			no					
Organism_44847	Synotis alata			no					
Organism_17656	Plectranthus myrianthus Briq			no					
Organism_45156	Salvia sessei			no					
Organism_29931	Tristania conferta			no					
Organism_45153	Ceropegia dichotoma			no					
Organism_45182	Eria japonica			no					
Organism_45165	Mentha cardiaca			no					
Organism_2917	Epimedium sagittatum			no					
Organism_16482	Haplophyllum obtusifolium Ldb.			no					
Organism_12010	Acorus tatarinowii			no					
Organism_3089	Tabernaemontana corymbosa			no					
Organism_11035	Lindera aggregata			no					
Organism_14949	Piper regnellii			no					
Organism_46045	Sideritis tragoriganum			no					
Organism_14637	Vellozia nanuzae			no					
Organism_16758	Chamomilla recutita (L.) Rauschert			no					
Organism_7349	Millettia erythrocalyx			no					
Organism_8245	Baccharis dracunculifolia			no					
Organism_22573	Atractylodes macrocephala			no					
Organism_8412	Esenbeckia leiocarpa			no					
Organism_44132	Dolomiaea souliei			no					
