organism_id	scientific_name	powo_common_name	source	language_note
Organism_3089	Tabernaemontana corymbosa	restong bark	snippet	english
Organism_44923	Kaempferia pulchra	pretty resurrection lily	snippet	english
Organism_3773	Xylopia aromatica	malagusta	snippet	non-english (Spanish; +12 more)
Organism_22810	Tinospora crispa	borapet	snippet	non-english (Thai)
Organism_13673	Strychnos vanprukii	lampong	snippet	non-english
Organism_18218	Garcinia lucida	essuk (bulu)	snippet	non-english
Plant_Sarcocephalus_Latifolius	Sarcocephalus latifolius	peyerebiasah	snippet	non-english
Organism_11187	Cneorum pulverulentum	lene noel	snippet	non-english
Organism_17071	Fritillaria verticillata	baimo	snippet	non-english (Chinese pinyin)
Organism_5575	Nephelium maingayi	ridan	snippet	non-english (Malay)
Organism_5018	Strychnos icaja	m'boundu	snippet	non-english
Organism_18454	Alstonia angustiloba	pulai	snippet	non-english (Malay)
Organism_12009	Eschweilera coriacea	coco	snippet	non-english (Spanish; +5 more)
Organism_20231	Peltogyne pubescens	mariwanna	snippet	non-english
Organism_12151	Tabebuia avellanedae	pau d'arco roxo	snippet	non-english (Portuguese)
Organism_22772	Eupatorium glutinosum	matico	snippet	non-english (Spanish)
Organism_4935	Isoplexis sceptrum	giant madeira foxglove	snippet	en
Organism_49689	Koompassia malaccensis	impas	snippet	und
Organism_51224	Nectandra pichurim	pucheri	snippet	und
Organism_17147	Swertia angustifolia	spurious chirata	snippet	en
Organism_14874	Polygala reinii	pai kit	snippet	und
Organism_14575	Uncaria sinensis	kou-p'ien	snippet	und
Organism_5701	Acacia arabica	nalla-tumma-banka (tel)	snippet	und
Organism_23838	Trichilia catigua	catigua	snippet	und
Organism_7309	Dalbergia parviflora	kayn-lakka	snippet	und
Organism_26158	Gardenia thailandica	randa	snippet	und
Organism_6658	Plathymenia reticulata	vinhatico	snippet	und
Organism_13076	Caryocar villosum	piquia	snippet	und
Organism_48203	Viburnum erubescens	damshing	snippet	und
Organism_45178	Breonia chinensis	mai sa ko (lao)	snippet	und
Organism_4118	Gentiana rigescens	lung tan ts'ao	snippet	und
Organism_47032	Radermachera xylocarpa	khursing	snippet	und
Organism_4322	Lycopodium japonicum	sanusendzuru (ja)	snippet	und
Organism_12763	Drypetes roxburghii	putajan	snippet	und
Organism_44052	Piper acutifolium	matico	snippet	und
Organism_46889	Sonneratia alba	mangrove	snippet	en
Organism_20815	Walsura piscidia	yerravalu	snippet	und
Organism_5762	Cryptocarya chinensis	maruba-damo	snippet	und
Organism_50417	Tylophora ovata	kashun	snippet	und
Organism_8672	Scopolia japonica	japanese belladonna	snippet	en
Organism_47510	Daphne aurantiaca	golden-flowered daphne	snippet	en
Organism_5503	Diospyros dendo	ebony	snippet	en
Organism_48489	Ficus mucuso	mysore fig	snippet	en
Organism_15708	Homalomena occulta	nien-chien	snippet	und
Organism_12019	Millettia brandisiana	mai chann	snippet	und
Organism_48470	Tiliacora triandra	glass fruit	snippet	en
Organism_51736	Dregea volubilis	mal-kodipala	snippet	und
Organism_3032	Boesenbergia pandurata	chinese keys	snippet	en
Organism_979	Globularia alypum	false senna	snippet	en
Organism_6213	Stereospermum personatum	padamul	snippet	und
Organism_1686	Toddalia asiatica	orange climber	snippet	en
Organism_8020	Triphyophyllum peltatum	goe-doo	snippet	und
Organism_18275	Achyrocline bogotensis	cenizo	snippet	und
Organism_6742	Actinodaphne lancifolia	koganoki	snippet	und
Organism_44515	Aframomum alboviolaceum	cardamom	snippet	en
Organism_12926	Aristolochia kaempferi	ma-tou-ling (chinese)	snippet	und
Organism_5821	Artabotrys uncinatus	kadang nga	snippet	und
Organism_15500	Artemisia brevifolia	indian artemisia	snippet	en
Organism_9835	Bauhinia championii	yahadzu-kadgusa (japanese)	snippet	und
Organism_52102	Buxus bodinieri	box	snippet	en
Organism_50339	Cordia americana	ipe branco (portugese)	snippet	und
Organism_1489	Croton zambesicus	baluegira	snippet	und
Organism_13596	Derris malaccensis	tuba merah	snippet	und
Organism_7448	Dysoxylum acutangulum	damar ambaloe	snippet	und
Organism_52517	Gleditsia horrida	strong spined acacia	snippet	en
Organism_8191	Goniothalamus thwaitesii	kalu-kara	snippet	und
Organism_51822	Gynocardia odorata	false chaulmoogra	snippet	en
Organism_23442	Holarrhena febrifuga	kumbandzo	snippet	und
Organism_17020	Hortia arborea	mocambo	snippet	und
Organism_11571	Hymenodictyon excelsum	bartu	snippet	und
Organism_16830	Larrea divaricata	zarilla	snippet	und
Organism_7120	Luffa cylindrica	dishcloth gourd	snippet	en
Organism_8573	Maytenus laevis	chuchuhuaza capinuri (sp.)	snippet	und
Organism_15885	Myroxylon pereirae	balsam of peru	snippet	en
Organism_44290	Nervilia fordii	chen t'ien k'uei	snippet	und
Organism_22889	Podocarpus hallii	thin bark totara	snippet	en
Organism_22814	Podocarpus spicatus	matai	snippet	und
Organism_3096	Pseudocedrela kotschyi	tuna	snippet	und
Organism_5551	Sapium indicum	kiri-makulu	snippet	und
Organism_16381	Solanum sodomeum	dead sea apple	snippet	en
Organism_22484	Strychnos dolichothyrsa	ndik assol	snippet	und
Organism_5645	Strychnos wallichiana	kuchila lata (bengali)	snippet	und
Organism_21396	Artemisia apiacea	ching hao	snippet	und
Organism_11542	Bowdichia virgilioides	jamaican alcornoco	snippet	en
Organism_14401	Vatica rassak	chengab	snippet	und
Organism_1764	Dysoxylum binectariferum	tampoee banah	snippet	und
Organism_48700	Monodora brevipes	kray-bu	snippet	und
Organism_45349	Samadera indica	epil	snippet	und
Organism_45076	Maesa chisia	bilauni	snippet	und
Organism_14557	Uncaria acida	aroy kait bessie	snippet	und
Plant_Abutilon_ramosum	Abutilon ramosum	branching abutilon	snippet	en
Organism_48056	Acacia armata	kangaroo thorn	snippet	en
Organism_12462	Acacia buxifolia	box-leaf wattle	snippet	en
Organism_14747	Acacia furcatispina	brea	snippet	en
Organism_11769	Acacia galpinii	monkey-thorn	snippet	en
Organism_20692	Acacia homalophylla	myall	snippet	en
Organism_21871	Acacia mollissima	green wattle	snippet	en
Organism_15376	Acacia raddiana	talah	snippet	en
Organism_5717	Acacia sieberiana	paper bark acacia	snippet	en
Plant_Acaena_splendens	Acaena splendens	cepacaballo	snippet	und
Organism_15577	Acanthophyllum squarrosum	persian soap root	snippet	en
Organism_46449	Acanthosyris paulo-alvinii	mata-cacau	snippet	und
Organism_45004	Acanthosyris spinescens	quebrachilo	snippet	und
Plant_Acer_erianthum	Acer erianthum	maple	snippet	en
Plant_Acer_morrisonense	Acer morrisonense	mt. morrison maple	snippet	en
Plant_Acer_trautvetteri	Acer trautvetteri	trautvetter's maple	snippet	en
Plant_Aciphylla_scott-thomsonii	Aciphylla scott-thomsonii	giant spaniard	snippet	en
Organism_6003	Aconitum falconeri	aconite (eng)	snippet	und
Organism_16345	Aconitum palmatum	indian aconite	snippet	en
Organism_8793	Aconitum spicatum	aconite	snippet	und
Organism_35275	Acosmium dasycarpum	chapapdinha	snippet	und
Organism_12247	Acronychia baueri	beudding turmeric	snippet	und
Organism_52292	Acronychia	indian aspen	snippet	en
Organism_50031	Actinodaphne pruinosa	medang	snippet	und
Plant_Adenophora	Adenophora	clear ginseng	snippet	und
Organism_10376	Adina cordifolia	mai kao (lao)	snippet	und
Organism_57140	Aegiceras majus	halsi	snippet	und
Organism_50249	Aeschrion excelsa	bitter wood	snippet	en
Organism_785	Aesculus rubicunda	red horse chestnut	snippet	en
Organism_21862	Aframomum daniellii	longouze	snippet	und
Organism_16315	Aframomum giganteum	sweet alligator pepper	snippet	en
Organism_18233	Aframomum sceptrum	mungulu (native name)	snippet	und
Organism_10538	Afrormosia elata	afrormosia	snippet	und
Organism_11280	Agathis alba	bold pale amber	snippet	und
Organism_51748	Agathis palmerstonii	kauri pine	snippet	en
Plant_Agave_vivipara	Agave vivipara	aloe fibre	snippet	und
Plant_Ageratina_tinifolia	Ageratina tinifolia	chilco negro	snippet	und
Organism_18703	Aglaia roxburghiana	kin kon	snippet	und
Organism_851	Aiphanes aculeata	ruffle palm	snippet	en
Organism_24579	Alangium javanicum	mentulang	snippet	und
Organism_2425	Alangium lamarckii	azhinji-maram (tam)	snippet	und
Organism_1134	Albizia coriaria	mutam-pindi	snippet	und
Organism_23019	Albizia lophantha	plume albizia	snippet	und
Organism_35283	Alchornea glandulosa	escobo	snippet	und
