# tiers: junk (structural non-taxon markers) | possible_plant (kept for review)
organism_id	scientific_name	tier	reason
Plant_liquorice	liquorice	possible_plant	
Plant_common_myrtle	common myrtle	possible_plant	
Plant_Jugo	Jugo	possible_plant	
Plant_Kumquat	Kumquat	possible_plant	
Organism_43742	Cinamomum cassia	possible_plant	
Plant_Aguacate	Aguacate	possible_plant	
Plant_Alexandrian_laurel	Alexandrian laurel	possible_plant	
Plant_candyleaf	candyleaf	possible_plant	
Plant_West_African_Pepper	West African Pepper	possible_plant	
Plant_Bitter_bush	Bitter bush	possible_plant	
Plant_Great_yellow_gentian	Great yellow gentian	possible_plant	
Plant_lettuce	lettuce	possible_plant	
Plant_snap_bean	snap bean	possible_plant	
Plant_Ashitaba	Ashitaba	possible_plant	
Plant_Phyfnnvik_eyyfn	Phyfnnvik eyyfn	possible_plant	
Plant_common_dandelion	common dandelion	possible_plant	
Plant_Exodermis_poria	Exodermis poria	possible_plant	
Plant_polyangium_brachysporum	[polyangium] brachysporum	junk	contains brackets/parens (strain designation)
Plant_Barbados_nut	Barbados nut	possible_plant	
Plant_Sraitia_grosvenorii	Sraitia grosvenorii	possible_plant	
Plant_star_fruit	star fruit	possible_plant	
Plant_Philadelphia_fleabane	Philadelphia fleabane	possible_plant	
Plant_Pericarpium_citri	Pericarpium citri	junk	pharmacognosy part-name ('pericarpium')
Plant_Semen_astragali_complanati	Semen astragali complanati	junk	pharmacognosy part-name ('semen')
Plant_Aca_sellowiana	Aca sellowiana	possible_plant	
Organism_1851	Marine	possible_plant	
Organism_45828	Brazilian Red Propolis	junk	non-plant common-name token
Plant_Herba_ecliptae_prostratae	Herba ecliptae prostratae	junk	pharmacognosy part-name ('herba')
Plant_Kothala_himbutu	Kothala himbutu	possible_plant	
Plant_chia	chia	possible_plant	
Plant_Caulis_millettiae	Caulis millettiae	junk	pharmacognosy part-name ('caulis')
Plant_Caulis_spatholobi	Caulis spatholobi	junk	pharmacognosy part-name ('caulis')
Plant_Herba_meconpsis_integrifoliae	Herba meconpsis integrifoliae	junk	pharmacognosy part-name ('herba')
Plant_marjoram	marjoram	possible_plant	
Plant_Cytotoxic_spiromamakone	Cytotoxic spiromamakone	possible_plant	
Plant_Mexican_propolis	Mexican propolis	junk	non-plant common-name token
Plant_Herba_artemisiae_scopariae	Herba artemisiae scopariae	junk	pharmacognosy part-name ('herba')
Plant_Herba_cichorii	Herba cichorii	junk	pharmacognosy part-name ('herba')
Plant_Herba_cirsii_japonici	Herba cirsii japonici	junk	pharmacognosy part-name ('herba')
Plant_Herba_seu_radix_cirsii_japonici	Herba seu radix cirsii japonici	junk	Latin drug phrase (seu/et)
Plant_Herba_acalyphae	Herba acalyphae	junk	pharmacognosy part-name ('herba')
Plant_Herba_glechomae	Herba glechomae	junk	pharmacognosy part-name ('herba')
Plant_Alkaloid_lycorine	Alkaloid lycorine	possible_plant	
Plant_Caulis_perillae	Caulis perillae	junk	pharmacognosy part-name ('caulis')
Plant_Forking_Larkspur	Forking Larkspur	possible_plant	
Plant_Santol	Santol	possible_plant	
Plant_Herba_dendrobii	Herba dendrobii	junk	pharmacognosy part-name ('herba')
Organism_52271	Vinegar	possible_plant	
Plant_Yan_Hu_Suo	Yan Hu Suo	possible_plant	
Plant_actinomycete_sp.	actinomycete sp.	possible_plant	
Plant_blue_water-speedwell	blue water-speedwell	possible_plant	
Plant_borage	borage	possible_plant	
Plant_Burmese_Lacquer_Tree	Burmese Lacquer Tree	possible_plant	
Plant_Cherry_Orange	Cherry Orange	possible_plant	
Plant_Reniera_sp.	Reniera sp.	possible_plant	
Plant_eDNA_sp.	eDNA sp.	possible_plant	
Plant_Eddoe	Eddoe	possible_plant	
Plant_Grataegus_pinnatifida	Grataegus pinnatifida	possible_plant	
