# GBIF fuzzy reclassification of NCBI-unmatched records
organism_id	scientific_name	new_status	gbif_matchType	gbif_confidence	gbif_kingdom	gbif_accepted_name
Plant_liquorice	liquorice	still_unmatched	NONE	100		
Organism_43759	Sabina sargentii	plant	EXACT	97	Plantae	Sabina sargentii (A.Henry) Miyabe & Tatewaki
Organism_16758	Chamomilla recutita (L.) Rauschert	plant	EXACT	100	Plantae	Chamomilla recutita (L.) Rauschert
Plant_Aplophyllum_alberti-regelii	Aplophyllum alberti-regelii	plant	HIGHERRANK	94	Plantae	Aplophyllum Cass.
Plant_Buphane_fischeri	Buphane fischeri	plant	HIGHERRANK	94	Plantae	Buphane Herb.
Plant_common_myrtle	common myrtle	still_unmatched	NONE	100		
Organism_12720	Parabenzoin trilobum	plant	EXACT	98	Plantae	Parabenzoin trilobum (Siebold & Zucc.) Nakai
Plant_Jugo	Jugo	still_unmatched	NONE	100		
Organism_44416	Medium grandiflorum	plant	EXACT	97	Plantae	Medium grandiflorum Spach
Plant_Kumquat	Kumquat	still_unmatched	NONE	100		
Plant_Tachigalia_paniculata	Tachigalia paniculata	plant	EXACT	98	Plantae	Tachigalia paniculata Aubl.
Organism_43742	Cinamomum cassia	still_unmatched	NONE	100		
Plant_Parerythropodium_fulvum	Parerythropodium fulvum	nonplant	EXACT	98	Animalia	Parerythropodium fulvum (Forskål, 1775)
Plant_Dumoria_heckeli	Dumoria heckeli	plant	FUZZY	96	Plantae	Dumoria heckelii A.Chev.
Plant_Aguacate	Aguacate	still_unmatched	NONE	100		
Organism_43791	Lytanthus salicinus	plant	EXACT	98	Plantae	Lytanthus salicinus (Lam.) Wettst.
Plant_Alexandrian_laurel	Alexandrian laurel	still_unmatched	NONE	100		
Organism_6442	Asiasarum heterotropoides	plant	EXACT	98	Plantae	Asiasarum heterotropoides (F.Schmidt) F.Maek.
Organism_48549	Benzoin praecox	plant	EXACT	98	Plantae	Benzoin praecox Siebold & Zucc.
Organism_47598	Sinocalamus affinis	plant	EXACT	98	Plantae	Sinocalamus affinis (Rendle) McClure
Plant_candyleaf	candyleaf	still_unmatched	NONE	100		
Organism_21950	Asiasarum sieboldii	plant	EXACT	98	Plantae	Asiasarum sieboldii (Miq.) F.Maek.
Plant_Fructus_syzygii	Fructus syzygii	plant	HIGHERRANK	94	Plantae	Fructus H.Engelhardt, 1877
Plant_Sessibugula_translucens	Sessibugula translucens	nonplant	EXACT	99	Animalia	Sessibugula translucens Osburn, 1950
Organism_44481	Bragantia wallichii	plant	HIGHERRANK	97	Plantae	Thottea Rottb.
Plant_West_African_Pepper	West African Pepper	still_unmatched	NONE	100		
Plant_Bitter_bush	Bitter bush	still_unmatched	NONE	100		
Plant_Great_yellow_gentian	Great yellow gentian	still_unmatched	NONE	100		
Plant_lettuce	lettuce	still_unmatched	NONE	100		
Plant_snap_bean	snap bean	still_unmatched	NONE	100		
Organism_44383	Thea sasanqua	plant	EXACT	97	Plantae	Thea sasanqua Nois.
Organism_44395	Uruparia lanosa	plant	EXACT	98	Plantae	Uruparia lanosa (Wall.) Kuntze
Plant_Ashitaba	Ashitaba	still_unmatched	NONE	100		
Organism_45286	Pycnothymus rigidus	plant	EXACT	98	Plantae	Pycnothymus rigidus (W.Bartram ex Benth.) Small
Organism_45296	Keyserlingia koreensis	plant	EXACT	97	Plantae	Keyserlingia koreensis Nakai
Organism_49286	Lastrea thelypteris	plant	HIGHERRANK	97	Plantae	Thelypteridaceae
Plant_Pellina_semitubulosa	Pellina semitubulosa	nonplant	EXACT	97	Animalia	Pellina semitubulosa (Lieberkühn, 1859)
Organism_44988	Cailliea cinerea	plant	EXACT	97	Plantae	Cailliea cinerea (L.) J.F.Macbr.
Plant_Phyfnnvik_eyyfn	Phyfnnvik eyyfn	still_unmatched	NONE	100		
Plant_Spirographis_spallanzani	Spirographis spallanzani	nonplant	FUZZY	96	Animalia	Spirographis spallanzanii (Viviani, 1805)
Organism_48785	Basanacantha spinosa	plant	EXACT	98	Plantae	Basanacantha spinosa (Jacq.) K.Schum.
Plant_common_dandelion	common dandelion	still_unmatched	NONE	100		
Plant_Cymathere_triplicata	Cymathere triplicata	nonplant	EXACT	97	Chromista	Cymathere triplicata
Plant_Exodermis_poria	Exodermis poria	still_unmatched	NONE	100		
Organism_48937	Helianthopsis bishopii	plant	EXACT	98	Plantae	Helianthopsis bishopii H.Rob.
Plant_polyangium_brachysporum	[polyangium] brachysporum	still_unmatched	NONE	100		
Plant_Ritterella_tokioka	Ritterella tokioka	nonplant	EXACT	99	Animalia	Ritterella tokioka Kott, 1992
Plant_Barbados_nut	Barbados nut	still_unmatched	NONE	100		
Organism_21454	Laurentia longiflora	plant	HIGHERRANK	97	Plantae	Campanulaceae
Organism_46218	Pothomorphe peltata	plant	EXACT	98	Plantae	Pothomorphe peltata (L.) Miq.
