# source: Wikidata (P1843 taxon common name, then item label/alias); matched by P225 scientific name
# langs: en   retrieved: 2026-08-18
organism_id	scientific_name	wikidata_qid	wikidata_common_name	source_field	all_p1843
Organism_46258	Perilla frutescens var. arguta				
Organism_6931	Murraya paniculata	Q238591	orange jasmine	P1843	orange jasmine
Organism_21654	Valeriana officinalis var. latifolia	Q18383690	Valeriana officinalis latifolia	alias	
Organism_26945	Citrus deliciosa	Q20686225	Citrus × deliciosa	label	
Organism_11220	Curcuma wenyujin	Q21262484			
Organism_44801	Cryptomeria japonica var. sinensis	Q1074034			
Plant_liquorice	liquorice	Q257106	cultivated licorice	P1843	cultivated licorice
Organism_11218	Curcuma kwangsiensis	Q11062510			
Organism_45179	Isodon rubescens var. lushiensis				
Organism_30075	Eucalyptus camaldulensis var. obtusa	Q18232084			
Organism_44793	Curcuma phaeocaulis	Q15326290			
Organism_2027	Rhaponticum carthamoides	Q820171			
Organism_19658	Dendrobium loddigesii	Q5220983	Loddiges' Dendrobium	P1843	Loddiges' Dendrobium
Organism_8226	Salvia syriaca	Q4519772			
Organism_11187	Cneorum pulverulentum	Q5775599			
Organism_44727	Mitracarpus scaber	Q21314731			
Organism_21396	Artemisia apiacea	Q15468977			
Organism_12980	Scutellaria amoena	Q15250346			
Organism_5624	Wikstroemia retusa	Q7999904			
Organism_43832	Calostephane divaricata	Q15555399			
Organism_15581	Artemisia assoana	Q96066799			
Organism_43810	Campylotropis hirtella	Q11127155			
Organism_4218	Picrorhiza kurrooa	Q6075169			
Organism_12444	Swertia franchetiana	Q11076776			
Organism_16258	Hypericum laricifolium	Q17566043			
Organism_43860	Gnetum latifolium	Q15050020			
Organism_13298	Zanthoxylum tetraspermum	Q18084067			
Organism_43847	Peltostigma guatemalense	Q15393254			
Organism_10267	Adiantum lunulatum	Q16973963			
Organism_43852	Marrubium anisodon	Q15342038			
Organism_26002	Bishovia boliviensis	Q15592474			
Organism_1966	Alpinia blepharocalyx	Q10811793			
Organism_43768	Naucleopsis ternstroemiiflora	Q15478655			
Organism_43787	Goniothalamus malayanus	Q15359243			
Organism_45161	Rhodiola semenovii	Q11109350			
Organism_43807	Viguiera incana	Q15570590			
Organism_43777	Cotyledon secunda				
Organism_43762	Hedysarum connatum	Q109888515			
Organism_43759	Sabina sargentii				
Organism_4256	Aconitum japonicum	Q15360147			
Organism_44586	Actaea simplex	Q892703	Cimicifuga simplex	alias	
Organism_6098	Stephania zippeliana Miq.				
Organism_17581	Sonneratia caseolaris	Q4918688			
Organism_45178	Breonia chinensis	Q15399563			
Organism_45158	Glycosmis macrophylla	Q15395741			
Organism_45177	Hypericum polyanthemum	Q17812686			
Organism_45181	Crotalaria candicans	Q15446861			
Organism_44847	Synotis alata	Q15230855			
Organism_988	Murraya exotica	Q24853223	Chinese box	P1843	Chinese box
Organism_17656	Plectranthus myrianthus Briq				
Organism_45156	Salvia sessei	Q7406893			
Organism_29931	Tristania conferta	Q39279687			
Organism_45153	Ceropegia dichotoma	Q1488235			
Organism_45182	Eria japonica	Q15251438			
Organism_45165	Mentha cardiaca	Q27448107			
Organism_2917	Epimedium sagittatum	Q15326323			
Organism_8487	Eurycoma longifolia	Q311710	longjack	alias	
Organism_7435	Astragalus membranaceus	Q15532251			
Organism_16482	Haplophyllum obtusifolium Ldb.				
Organism_12010	Acorus tatarinowii	Q50828044			
Organism_3089	Tabernaemontana corymbosa	Q5229169			
Organism_11035	Lindera aggregata	Q3205609			
Organism_14949	Piper regnellii	Q15694053			
Organism_46045	Sideritis tragoriganum	Q15367396			
Organism_14637	Vellozia nanuzae	Q15582502			
Organism_16758	Chamomilla recutita (L.) Rauschert				
Organism_7349	Millettia erythrocalyx	Q15228163			
Organism_8245	Baccharis dracunculifolia	Q4838634			
Organism_22573	Atractylodes macrocephala	Q8208640			
Organism_8412	Esenbeckia leiocarpa	Q1336887			
Organism_6111	Cimicifuga foetida L.				
Organism_44132	Dolomiaea souliei	Q15231406			
Organism_4541	Uncaria rhynchophylla	Q1134307	Uncaria rhynchophylla ex	alias	
Organism_16688	Aspidosperma subincanum	Q4808037			
Organism_6658	Plathymenia reticulata	Q15541573			
Organism_22130	Hoffmannia strigillosa	Q15464748			
Organism_44687	Buddleja cordata	Q6937553			
Organism_25514	Kaempferia marginata	Q15331276			
Organism_46004	Erysimum leptophyllum	Q15545821			
Organism_9567	Nauclea officinalis	Q10763503			
Plant_Boswellia_Carterii	Boswellia Carterii	Q5732578			
Organism_6217	Thymus piperella	Q1330282			
Organism_18857	Hypericum styphelioides	Q17812794			
Organism_9846	Ononis vaginalis	Q12218330			
Organism_45206	Agrimonia pilosa var. japonica	Q27869443			
Organism_17192	Centaurea maculosa	Q4117851	Spotted Knapweed	alias	
Organism_15780	Embelia parviflora	Q11069490			
Organism_19166	Erythrina melanacantha	Q15491770			
Organism_2973	Helichrysum tenuifolium	Q15583602			
Organism_46012	Euphorbia nematocypha				
Organism_6739	Guatteria boliviana	Q15360003			
Organism_3069	Laggera pterodonta	Q15231544			
Organism_7665	Atraphaxis spinosa	Q4249009			
Organism_7678	Ruta pinnata				
Organism_6761	Dracocephalum kotschyi	Q15317556			
Organism_46404	Crepis foetida subsp. rhoeadifolia	Q14404552			
Organism_46034	Faramea salicifolia				
Organism_23702	Lemaireocereus longispinus	Q41793278			
Organism_45349	Samadera indica	Q39928892			
Organism_11090	Scorzonera pseudodivaricata	Q11060078			
Plant_Aplophyllum_alberti-regelii	Aplophyllum alberti-regelii				
Organism_44154	Conocephalum japonicum	Q17301435			
Organism_45995	Cordia leucocephala	Q15578124			
Organism_46037	Diospyros assimilis				
Organism_45994	Eria anomala	Q15472514			
Organism_46026	Gymnocalycium schickendantzii	Q1558398			
Organism_46001	Monsonia senegalensis	Q15337314			
Organism_45997	Vernonia fagifolia	Q38787156			
Organism_44673	Alkanna cappadocica	Q15572388			
Organism_1146	Chrozophora obliqua	Q28934900			
Organism_44423	Ophryosporus charua	Q21326888			
Organism_18063	Isodon eriocalyx	Q15331560			
Organism_6169	Psiadia dentata	Q3409957			
Organism_2330	Isodon xerophilus	Q15333696			
Organism_15045	Salacia chinensis	Q10748363			
Organism_4094	Disynaphia halimifolia	Q15578502			
Organism_1322	Teucrium polium ssp. aurasianum				
Organism_17846	Centrolobium tomentosum	Q9627392			
Organism_44312	Peritassa compta	Q15347707			
Organism_2062	Alangium premnifolium	Q15604139			
Organism_44676	Artemisia dentata	Q109623611			
Organism_3132	Alstonia angustifolia	Q4735877			
Organism_227	Chlamydomonas reinhardtii	Q291827			
Organism_35325	Cryptocarya aschersoniana	Q15606728			
Organism_46042	Myrica nana	Q10880868			
Organism_35308	Rapanea lancifolia	Q15340637			
Plant_Buphane_fischeri	Buphane fischeri				
Organism_44684	Crambe tatarica	Q303512	Crambe tataria	label	
Organism_44664	Lemaireocereus griseus	Q41793276			
Organism_1728	Sideritis arborescens	Q15367176			
Organism_14312	Dioscorea futschauensis	Q15227296			
Organism_3059	Euphorbia kansui	Q15232469			
Organism_6315	Securidaca inappendiculata	Q15248917			
Organism_44307	Ardisia neriifolia	Q10908022			
Organism_44305	Eupatorium argentinum	Q104374690			
Organism_22419	Evodia rutaecarpa BENTHAM				
Organism_13691	Fragaria	Q745	strawberry	P1843	strawberry
Organism_44308	Rheedia acuminata	Q50861032			
Organism_44103	Castanopsis sclerophylla	Q15247814			
Organism_44696	Cnidium officinale	Q27613460			
Organism_12780	Heliotropium floridum	Q15489898			
Organism_6364	Sophora angustifolia	Q50867220			
Organism_44262	Aconitum nevadense	Q110467932			
Organism_44923	Kaempferia pulchra	Q21176180			
Organism_46019	Ligularia atroviolacea	Q11179405			
Organism_44294	Satureja cuneifolia	Q15364005			
Plant_common_myrtle	common myrtle	Q6122027	myrtle	P1843	myrtle
Organism_21433	Croton cumingii	Q110379952			
Organism_12720	Parabenzoin trilobum	Q110690922			
Organism_20941	Delphinium dictyocarpum DC.				
Organism_24130	Lippia carviodora	Q15432607			
Organism_26373	Stevia polycephala	Q15443990			
Organism_4145	Cymbidium aloifolium	Q1596232	Aloe-leafed Cymbidium	P1843	Aloe-leafed Cymbidium
Organism_23016	Kaunia saltensis	Q15599790			
Organism_44110	Trichilia rubescens	Q15526211			
Organism_44291	Bersama yangambiensis	Q18079305			
Organism_44075	Culcitium canescens	Q50240840			
Organism_44148	Doodia picta				
Organism_44313	Grewia mollis	Q15369371			
Organism_44217	Narcissus concolor	Q110985510			
Organism_12118	Viguiera decurrens	Q15570503			
Organism_44187	Alseodaphne corneri	Q110691973			
Organism_44221	Annona impressivenia	Q15398326			
Organism_44058	Forsteronia refracta	Q15398664			
Organism_44087	Hovenia acerba	Q11107867	Chinese raisin tree	alias	
Organism_43906	Isodon lophanthoides	Q15332595			
Organism_44288	Oncoba echinata	Q50848612			
Organism_43781	Dysoxylum lenticellatum	Q15245308			
Organism_22996	Odixia angusta	Q15571445			
Organism_2848	Cirsium dipsacolepis	Q5708931			
Organism_3525	Tripterygium hypoglaucum	Q15225816			
Organism_22068	Blainvillea latifolia				
Organism_44127	Salacia lehmbachii	Q17270936			
Organism_3098	Bongardia chrysogonum	Q4093107			
Organism_20234	Geigeria schinzii	Q15548610			
Organism_7502	Nicotiana undulata	Q15531484			
Organism_44070	Sideritis brevibracteata	Q15366887			
Organism_4386	Uvaria calamistrata	Q10898576			
Organism_6945	Aceriphyllum rossii	Q32857725			
Organism_6122	Berberis integerrima	Q4078004			
Organism_2263	Rubia yunnanensis	Q15251742			
Organism_2021	Curcuma aeruginosa	Q3517919			
Organism_2828	Garcinia hombroniana	Q11044595			
Organism_5899	Gymnema sylvestre	Q2725835	miracle fruit	P1843	miracle fruit; cowplant
Organism_17127	Schisandra propinqua	Q10916972			
Organism_11133	Ficus formosana	Q10914796			
Organism_44111	Kokoona reflexa	Q17237033			
Organism_2150	Phoebe formosana	Q10914543			
Plant_Annona_Cherimolia	Annona Cherimolia	Q50968899			
Organism_10374	Bridelia ferruginea	Q15512160			
Organism_3524	Euonymus tingens	Q11108453			
Organism_2492	Garcinia scortechinii	Q5393409			
Organism_44419	Goniothalamus undulatus	Q15359466			
Organism_6282	Salvia prionitis	Q5228774			
Organism_12410	Chloranthus tianmushanensis	Q10940535			
Plant_Jugo	Jugo				
Organism_8021	Laggera alata	Q8846722			
Organism_43990	Araiostegiella perdurans	Q17046486			
Organism_4578	Aralidium pinnatifidum	Q15709648	Plumiera	label	
Organism_16747	Cladogynos orientalis	Q13580931			
Organism_44041	Maesa ramentacea	Q15239994			
Organism_46010	Scutellaria glabra	Q104973081			
Organism_15197	Porella swartziana	Q17269415			
Organism_44180	Rheum webbianum	Q10923670			
Organism_19865	Ormosia panamensis	Q1871665			
Organism_44931	Chromolaena pulchella	Q15593362			
Organism_49009	Ilex kaushue	Q11076099			
Organism_21714	Nemuaron humboldtii	Q112184780			
Organism_7077	Ophryosporus floribundus	Q15573094			
Organism_44420	Cheilanthes marantae	Q98084113			
Organism_44418	Helichrysum angustifolium	Q15578552			
Organism_44935	Ilex affinis	Q15381740			
Organism_44406	Leontice kiangnanensis	Q38528007			
Organism_44407	Lophocereus marginatus	Q92731237	Mexican fence-post cactus	P1843	Mexican fence-post cactus
Organism_44416	Medium grandiflorum				
Organism_44412	Pteris spinulosa	Q17169695			
Organism_19063	Saussurea involucrata	Q15224177			
Organism_10712	Aster scaber	Q12618577	edible aster	alias	
Organism_14790	Berneuxia thibetica	Q149534			
Organism_8521	Epaltes gariepina	Q98091054			
Organism_44921	Stenostomum lucidum	Q15454588			
Organism_24515	Isodon kameba				
Plant_Juniperus_serawschanica	Juniperus serawschanica				
Plant_Kumquat	Kumquat	Q5122903	cumquat	label	
Organism_44930	Simira eliezeriana	Q15448052			
Organism_45386	Teucrium pestalozzae	Q15374151			
Organism_13164	Gardenia fosbergii	Q15455862			
Organism_47592	Pinus densiflora var. densiflora	Q25121277			
Organism_3709	Polygonum cuspidatum	Q87583978			
Plant_Tachigalia_paniculata	Tachigalia paniculata				
Organism_15220	Beyeria brevifolia	Q51046133			
Organism_43742	Cinamomum cassia				
Organism_35337	Alibertia macrophylla	Q39791847			
Organism_45416	Aristolochia zollingeriana	Q15245652			
Organism_44315	Senecio flavus	Q12219346			
Organism_45365	Tripodanthus acutifolius	Q15356475			
Organism_24788	Vitex madiensis	Q15375102			
Organism_5369	Cistanche tubulosa	Q15239902	Desert hyacinth	P1843	Desert hyacinth
Organism_23031	Cynomorium songaricum	Q15224518			
Organism_50858	Imperata cylindrica var. major	Q25121876			
Organism_25017	Piptolepis leptospermoides	Q15601908			
Organism_44937	Anaxagorea clavata	Q110883197			
Organism_44924	Aria pallescens	Q42313588			
Organism_44938	Artemisia monogyna	Q132526929	Artemisia maritima subsp. monogyna	alias	
Organism_44949	Echinops amplexicaulis	Q15580948			
Organism_45434	Ehretia dicksonii	Q3049295			
Organism_44096	Gerbera piloselloides	Q11126881			
Organism_3050	Millettia conraui	Q3283904			
Plant_Panax_Pseudo-Ginseng_Var._Notoginseng	Panax Pseudo-Ginseng Var. Notoginseng				
Organism_44945	Pteris prolifera	Q17196744			
Organism_44933	Pterocarpus grandiflorus	Q39136660			
Organism_44156	Sidastrum acuminatum	Q49426055			
Organism_26504	Uvaria mocoli	Q17139659			
Organism_4502	Verbascum georgicum	Q17746750			
Organism_12926	Aristolochia kaempferi	Q15224986			
Organism_46682	Coreopsis nodosa	Q15551035			
Organism_46545	Haematococcus lacustris	Q69644038			
Organism_49411	Cydonia vulgaris	Q10262679			
Organism_5787	Eskemukerjea megacarpum HARA				
Organism_7174	Plantago lundborgii	Q15351465			
Organism_24063	Trigonella grandiflora	Q15543938			
Organism_20342	Dorstenia barnimiana	Q15471510			
Organism_12575	Bidens pilosa var. radiata	Q11316127			
Organism_48069	Clusia ellipticifolia	Q15388781			
Organism_12689	Coptis deltoidea	Q10866831			
Organism_20351	Dorstenia lindeniana	Q5298963			
Organism_14633	Senecio paludaffinis	Q15601625			
Organism_2417	Veronica pectinata var.glandulosa				
Organism_31147	Alisma Plantago	Q21063	European water plantain	P1843	European water plantain; Common Water-plantain; water-plantain
Organism_3997	Anemarrhena asphodeloides	Q4379			
Organism_20570	Coreopsis fasciculata	Q15550982			
Organism_44252	Salvia coulteri	Q7406769			
Organism_44385	Sedum forsterianum	Q6123455	rock stonecrop	P1843	rock stonecrop
Organism_30131	Zieria chevalieri	Q5467676			
Organism_21185	Dalbergia stipulacea	Q11076014			
Organism_8582	Herbertus sakuraii	Q15346740			
Organism_11659	Merremia umbellata	Q7403044	hogvine	P1843	hogvine
Organism_20551	Parastrephia lepidophylla	Q13938823	tola	alias	
Organism_44215	Pedicularis condensata	Q17714993			
Organism_4202	Caesalpinia crista	Q2932877	Gray nicker bean	alias	
Organism_2237	Eupatorium chinense	Q5409954			
Organism_18396	Licaria chrysophylla	Q15608565			
Organism_6205	Lonchocarpus laxiflorus	Q6669658			
Organism_10036	Magnolia biondii	Q6731965			
Organism_10147	Mesembryanthemum anatomicum	Q110802757			
Plant_Panax_schinseng	Panax schinseng				
Organism_1969	Achillea leptophylla				
Organism_45354	Aconitum brevicalcaratum				
Organism_48048	Astragalus ernestii				
Organism_9716	Centaurea seridis	Q15546573			
Organism_2463	Kopsia arborea	Q15358450			
